nif	year	acreed_ciales
"A23019342"	2010	0
"A23019342"	2008	0
"G38004297"	2012	0
"B91139717"	2011	0
"A58017187"	2008	0
"G38004297"	2013	0
"A20073169"	2013	0
"B82424276"	2013	0
"A28219202"	2014	0
"G38004297"	2014	0
"B28701340"	2013	0
"G38004297"	2009	0
"A48050728"	2009	0
"B61252185"	2009	0
"G38004297"	2010	0
"A33055138"	2012	0
"A23019342"	2009	0
"B35015262"	2011	0
"G38004297"	2011	0
"A48050728"	2011	0
"A79092573"	2008	0
"A82307117"	2008	0
"B28623213"	2013	0
"A53552634"	2010	0
"B39008404"	2013	0
"G38004297"	2007	0
"A28295038"	2011	0
"A45017142"	2011	0
"A97628242"	2012	0
"A58017187"	2007	0
"A48050728"	2010	0
"B48907885"	2011	0
"V30405880"	2007	0
"G38004297"	2008	0
"A33055138"	2013	0
"B84504455"	2013	0
"A33055138"	2010	0
"B83481002"	2014	.011
"A79235891"	2015	.015
"B15862667"	2015	.04
"B15862667"	2017	.04
"B15862667"	2016	.04
"A32225419"	2016	.064
"B81335473"	2015	.092
"B81335473"	2017	.142
"B62385067"	2016	.153
"A17483124"	2015	.27
"A07059058"	2016	.436
"B59162701"	2015	.649
"A28416154"	2016	.696
"B28376184"	2015	.816
"A45445210"	2016	1
"B62059498"	2016	1
"B12026183"	2017	1.072
"B81308439"	2015	1.143
"A08243297"	2014	1.36
"A28711893"	2015	1.705
"A83932475"	2017	1.769
"B85294916"	2016	1.809
"A42000802"	2017	2
"B85294916"	2017	2
"B62059498"	2017	2
"A83932475"	2016	2.135
"B62385067"	2015	2.266
"B17229675"	2016	2.538
"B43587120"	2017	2.587
"B17229675"	2017	2.696
"F06312920"	2017	2.805
"A53242152"	2015	2.917
"A83150060"	2016	3
"B62385067"	2017	3.177
"A08215428"	2016	3.259
"A08703803"	2015	3.31
"A28416154"	2015	3.522
"B28757730"	2015	3.525
"B15596331"	2016	3.561
"B12026183"	2016	3.745
"B28757730"	2016	3.858
"A08215428"	2015	3.959
"A96966049"	2015	4
"A43028588"	2015	4.27
"A43028588"	2016	4.27
"A48050728"	2013	4.334
"A28392033"	2016	4.38
"A08703803"	2017	4.698
"B63031660"	2017	5
"A08691503"	2017	5.015
"B17229675"	2015	5.06
"A17483124"	2017	5.092
"A35510650"	2015	5.374
"B96952635"	2016	5.401
"B82432725"	2016	5.617
"A35569102"	2017	5.629
"B82435371"	2010	6
"A83150060"	2017	6
"B07025315"	2016	6.007
"B96952635"	2017	6.014
"B30041115"	2015	6.141
"B12023065"	2017	6.18
"A35510650"	2016	6.447
"A35569102"	2016	6.563
"B43361724"	2016	6.813
"A48031140"	2010	6.831
"B12023065"	2015	6.973
"A45445210"	2017	7
"A32006413"	2016	7.299
"B46012324"	2017	7.465
"A45202975"	2016	7.513
"B43361724"	2017	7.691
"B61441127"	2016	8
"A35397884"	2017	8.054
"B43361724"	2015	8.227
"A82683434"	2017	8.455
"A48031140"	2009	8.926
"B07025315"	2017	8.979
"A28392033"	2015	9.006
"A48031140"	2011	9.176
"A08215428"	2017	9.22
"B12023065"	2016	9.258
"A41212572"	2015	9.332
"A41212572"	2016	9.332
"A45202975"	2017	9.505
"A31737455"	2017	9.747
"B41591165"	2016	9.893
"B96952635"	2015	10.29
"B61967774"	2012	10.487
"A48031140"	2007	10.53
"A36615896"	2016	10.704
"A07086515"	2017	11.424
"B80146517"	2015	12
"A41762386"	2011	12.002
"B50561968"	2009	12.517
"A24020562"	2015	12.86
"A13029962"	2010	13.003
"A35397884"	2015	13.323
"A28711893"	2014	13.645
"A36605772"	2015	13.71
"A35397884"	2016	13.799
"A35005743"	2017	13.88
"B07025315"	2015	14.466
"B15596331"	2017	14.799
"A28649879"	2015	14.854
"A07009814"	2013	15.325
"A35101732"	2016	15.738
"A35510650"	2017	15.816
"A45202975"	2015	15.991
"B27013382"	2016	15.992
"A03061850"	2016	16.297
"B85294916"	2015	17
"A48080147"	2009	17.018
"A28649879"	2016	17.36
"A58253816"	2016	17.468
"A58253816"	2015	17.846
"A35101732"	2017	19.896
"A96966049"	2016	20
"A28138873"	2007	20
"A33014176"	2007	20.45
"B28403194"	2015	21
"B61441127"	2017	21
"B15276728"	2015	21.054
"A36605772"	2016	21.555
"A30012645"	2017	21.574
"B27013382"	2017	22.4
"B60544046"	2014	22.941
"A32006413"	2017	23.228
"A08425902"	2014	23.632
"B35504059"	2015	24
"A48031140"	2012	24.141
"A14015101"	2016	25.117
"B41063355"	2016	25.6
"A07059058"	2017	25.753
"B84570803"	2017	25.78
"A11301645"	2007	25.82
"A48031140"	2008	26.01
"A33014176"	2016	26.24
"A07190309"	2017	26.362
"B28757730"	2017	26.959
"B35504059"	2016	27
"A48031140"	2013	27.521
"B35504059"	2017	28
"A15685324"	2017	28.115
"B47009626"	2017	28.251
"A33014176"	2008	28.371
"A83932475"	2015	28.862
"A48016877"	2009	29.384
"B81308439"	2016	29.441
"A28086858"	2016	29.46
"A07256100"	2017	29.933
"B78908605"	2009	30.646
"A45445210"	2010	31
"B12023065"	2011	31.203
"A28642122"	2017	32.15
"A30418255"	2015	32.55
"A96569207"	2016	33.099
"B41008970"	2016	33.233
"B03032620"	2017	33.753
"B50938489"	2016	34.851
"A48031140"	2017	35
"B03045507"	2016	35.153
"A48080147"	2007	35.299
"A57082570"	2017	35.896
"A48031140"	2016	36
"A28580520"	2015	37.49
"A06244131"	2017	37.571
"A46048732"	2016	37.635
"A30046320"	2017	38.299
"A28086858"	2015	38.498
"B43579424"	2010	38.767
"A35811272"	2017	38.832
"A33014176"	2009	39.062
"A28711893"	2013	39.119
"A80359730"	2017	39.661
"A78526811"	2010	39.861
"A47022058"	2015	40.27
"A96569207"	2015	40.517
"A78355278"	2017	40.868
"A07086515"	2016	40.885
"A33614082"	2013	40.951
"A50615160"	2015	41.55
"A46115101"	2015	41.854
"A28164374"	2015	42.304
"A50615160"	2016	42.37
"A07007735"	2016	42.434
"B50938489"	2017	42.746
"A33614082"	2015	42.969
"A11957792"	2008	43.245
"A08311995"	2017	43.688
"B17016254"	2016	43.785
"A17447061"	2015	43.847
"A18012807"	2016	44.054
"A35569102"	2015	45.116
"B43587120"	2014	45.139
"B17014887"	2008	45.353
"A18012807"	2017	45.742
"A33614082"	2016	46.047
"B43587120"	2012	46.154
