nif	year	acreed_lp
"A46146551"	2008	-.06
"A31825466"	2013	0
"A36602381"	2012	0
"A08199168"	2014	0
"A46336152"	2007	0
"A08708620"	2008	0
"A08202715"	2007	0
"A41059445"	2009	0
"A01035807"	2013	0
"A46052809"	2012	0
"A08131153"	2011	0
"A43019868"	2009	0
"A08211112"	2007	0
"A25007105"	2007	0
"A59954487"	2009	0
"B31798929"	2012	0
"A46068318"	2010	0
"A15000227"	2012	0
"A08220428"	2012	0
"A13005384"	2008	0
"A28441269"	2013	0
"A08224081"	2012	0
"A03036373"	2008	0
"B03039781"	2008	0
"A30005524"	2014	0
"A15033699"	2009	0
"B95388450"	2013	0
"A46134250"	2008	0
"A01035807"	2012	0
"B96683347"	2009	0
"B39021217"	2009	0
"A08257214"	2011	0
"A26022657"	2011	0
"A31138761"	2007	0
"A48080881"	2008	0
"A50016930"	2013	0
"A33601899"	2009	0
"A31096233"	2010	0
"A09018862"	2013	0
"B96683347"	2010	0
"A28211092"	2012	0
"A08186074"	2010	0
"B11009917"	2010	0
"A50060011"	2011	0
"B33614033"	2012	0
"A35515485"	2013	0
"B26011627"	2010	0
"A28579373"	2013	0
"B28341790"	2009	0
"A31076508"	2010	0
"A08527020"	2013	0
"B83616920"	2012	0
"A08270993"	2009	0
"A08170151"	2011	0
"B29901469"	2011	0
"B03091527"	2007	0
"A08273898"	2011	0
"B61395497"	2011	0
"A31001027"	2011	0
"B27008390"	2011	0
"A07012826"	2009	0
"B31067697"	2008	0
"A48050124"	2008	0
"A31404452"	2012	0
"A31062342"	2009	0
"A08220428"	2010	0
"A08277014"	2007	0
"A08008518"	2008	0
"A08154650"	2007	0
"A31096233"	2011	0
"A18024919"	2010	0
"A33024852"	2013	0
"A31031545"	2011	0
"A33610304"	2012	0
"A33034695"	2013	0
"A31001027"	2014	0
"A08296790"	2007	0
"A08296790"	2008	0
"A28556504"	2008	0
"A08361016"	2009	0
"A30016687"	2012	0
"A08146870"	2007	0
"A28128486"	2013	0
"B59886531"	2013	0
"B61395497"	2012	0
"B23357700"	2012	0
"A08075954"	2012	0
"B03078391"	2013	0
"A31018799"	2009	0
"B83325076"	2011	0
"A08304628"	2011	0
"A39000187"	2007	0
"A33601899"	2013	0
"A16007064"	2011	0
"A17019316"	2010	0
"A08141038"	2012	0
"A08061731"	2009	0
"B81308439"	2013	0
"A32006413"	2008	0
"A08507741"	2013	0
"A08110249"	2009	0
"A28295806"	2012	0
"B31027097"	2008	0
"A20574372"	2011	0
"B37012069"	2011	0
"A28923662"	2011	0
"A08466807"	2011	0
"A46463311"	2012	0
"A08688095"	2009	0
"B30603229"	2013	0
"A08361016"	2011	0
"A08021768"	2011	0
"A59382762"	2008	0
"A08363640"	2013	0
"A45445210"	2008	0
"A28814135"	2012	0
"A08439291"	2007	0
"F20025441"	2009	0
"A28198356"	2011	0
"B08292054"	2007	0
"A33008921"	2010	0
"A31000441"	2008	0
"A48073274"	2014	0
"A63736458"	2014	0
"A08106031"	2010	0
"A26018119"	2012	0
"A34003624"	2009	0
"A08375537"	2014	0
"B35329077"	2011	0
"B12007456"	2012	0
"A50060011"	2013	0
"B78459815"	2008	0
"A43019868"	2011	0
"A08094435"	2009	0
"A28255784"	2009	0
"B28222487"	2013	0
"A08128035"	2011	0
"A30047120"	2009	0
"A20018586"	2014	0
"A59382762"	2009	0
"A81722712"	2012	0
"A01002864"	2008	0
"B59886531"	2011	0
"A28202075"	2014	0
"A08514986"	2008	0
"A39030200"	2009	0
"A33618257"	2013	0
"F25002338"	2009	0
"A03028552"	2011	0
"B08271694"	2008	0
"A31076508"	2009	0
"A81931214"	2009	0
"A28054211"	2008	0
"A08220428"	2011	0
"A08116147"	2014	0
"B48074306"	2013	0
"A08116147"	2010	0
"A08116147"	2007	0
"A33606682"	2012	0
"A08439291"	2011	0
"A08110249"	2013	0
"A03012614"	2012	0
"A80732142"	2013	0
"A08110249"	2007	0
"B59162701"	2007	0
"B03078391"	2008	0
"B08194359"	2011	0
"A82501545"	2007	0
"A08404212"	2012	0
"A28668127"	2013	0
"A43004472"	2012	0
"A35018696"	2011	0
"A03066909"	2008	0
"B31027097"	2011	0
"A28011286"	2008	0
"B61425682"	2011	0
"A32225419"	2013	0
"A26014035"	2010	0
"B81231516"	2008	0
"A59202853"	2012	0
"A08507741"	2007	0
"B62916077"	2010	0
"A08098949"	2013	0
"B28084168"	2008	0
"A36615896"	2007	0
"A08097438"	2007	0
"A08514028"	2010	0
"A08042764"	2013	0
"A20036083"	2011	0
"A28668127"	2011	0
"A41038274"	2007	0
"A13006903"	2009	0
"A08520629"	2009	0
"A35004571"	2007	0
"B08156127"	2007	0
"A28923662"	2009	0
"A45012259"	2013	0
"A31737455"	2009	0
"A28435931"	2012	0
"A41038274"	2008	0
"A28060515"	2013	0
"B38318572"	2008	0
"B61395497"	2013	0
"B28072205"	2014	0
"B81864894"	2008	0
"B47364872"	2012	0
"B31009715"	2009	0
"A07427081"	2012	0
"A16008294"	2012	0
"A33015454"	2013	0
"A20008579"	2013	0
"A30418255"	2012	0
"A48080147"	2007	0
"A27005834"	2013	0
