nif	year	activo_circ
"A80632573"	2009	0
"B61967774"	2010	0
"B61252185"	2009	9.663
"B91629634"	2014	11.408
"B84822832"	2015	13.05
"B81762684"	2016	13.911
"B81762684"	2015	17.15
"B81762684"	2017	17.822
"B61967774"	2015	18.6
"B60024353"	2009	22.632
"A80632573"	2015	28.956
"B31881055"	2016	46.535
"B84654201"	2013	47.946
"B31881055"	2015	59.279
"A53242152"	2013	61.7
"B83782169"	2011	67.825
"B81907776"	2010	67.903
"A53242152"	2015	72.048
"A07086515"	2017	74.017
"B92963628"	2015	75.2
"V48566475"	2010	75.829
"B84894377"	2017	76.145
"A01376888"	2016	86.275
"B61967774"	2012	87.297
"B84654201"	2014	96.036
"A07244023"	2016	108.318
"B04348579"	2008	110.78
"B61967774"	2011	117.948
"A97789861"	2015	119
"B28701340"	2014	123.747
"B43587120"	2016	129.518
"B81907776"	2009	131.881
"B82435371"	2008	132.098
"A53242152"	2012	165.513
"B08552614"	2014	173.159
"A08802068"	2016	180.305
"A35515485"	2015	182.961
"A08196446"	2015	186.195
"A07123441"	2017	187.011
"B33602707"	2017	188.53
"B33602707"	2016	193.048
"B78496759"	2008	194.555
"A57082570"	2016	195.824
"A07123441"	2016	206.934
"B84894377"	2016	207.106
"A08802068"	2014	211.224
"A07123441"	2014	219.099
"B07985609"	2016	219.502
"B12523601"	2010	221.22
"A85450476"	2015	225
"B28376184"	2008	229.314
"A81841850"	2010	233.285
"A38013272"	2013	239.574
"A17006792"	2017	240.79
"A38013272"	2014	242.904
"B81907776"	2007	243.358
"A53242152"	2016	244.901
"A35515485"	2017	246.819
"A07123441"	2015	248.499
"A96773940"	2010	259.133
"A07086515"	2016	261.052
"B81907776"	2008	261.706
"A07123441"	2010	262.435
"A81841850"	2011	263.455
"A96785225"	2015	271.414
"A38013272"	2017	272.776
"B84372051"	2016	275
"A07123441"	2007	275.73
"A28814135"	2009	276.213
"A08196446"	2016	276.908
"A38013272"	2016	277.871
"A07123441"	2011	288.287
"B50938489"	2017	288.506
"A82854811"	2016	289.28
"A57346926"	2015	299.146
"A07123441"	2012	305.365
"A38013272"	2015	305.712
"B01015221"	2008	309.309
"A07086515"	2011	316.19
"A57082570"	2015	317.535
"A07244023"	2014	320.088
"A08147555"	2008	320.388
"B43590272"	2016	322.598
"A07123441"	2008	324.951
"A08802068"	2015	333.783
"A81841850"	2015	335.855
"B03026382"	2015	336.928
"A48031140"	2017	340
"A81438145"	2010	342.069
"A35610666"	2007	342.259
"B07985609"	2015	342.956
"V61861548"	2013	344.439
"B07985609"	2014	345.078
"B03045507"	2017	346.938
