nif	year	amortizacion
"A60045903"	2013	-190335
"A60045903"	2012	-160812
"A60045903"	2011	-132056
"A28122992"	2014	-108489
"A60045903"	2010	-105297
"A28122992"	2015	-104594
"A28122992"	2013	-93907
"A28122992"	2012	-92026
"A28122992"	2007	-91420
"A28122992"	2011	-89145
"A28122992"	2016	-85806
"A28122992"	2010	-85177
"A60045903"	2009	-81842
"A28122992"	2009	-81115
"A45445210"	2017	-80396
"A45445210"	2016	-78041
"A28122992"	2008	-77297
"A28077709"	2013	-75229
"A28138873"	2014	-74338
"A28122992"	2017	-73152
"A45445210"	2015	-72357
"A45445210"	2014	-71020
"A28077709"	2012	-69723
"A28077709"	2011	-64477
"B83616920"	2013	-61946
"A60045903"	2008	-60871
"A28077709"	2010	-58703
"A28077709"	2009	-53711
"A60045903"	2017	-50551
"A60045903"	2007	-48800
"A28077709"	2008	-48567
"A60045903"	2016	-48297
"A48025571"	2017	-45880
"A60045903"	2015	-45091
"A28077709"	2007	-43831.53
"A08023145"	2013	-42718
"A28220606"	2013	-42594
"A48025571"	2016	-42400
"B83616920"	2012	-42356
"A60045903"	2014	-40379
"A08023145"	2012	-37341
"A41461856"	2013	-37262.95
"A28220606"	2011	-35137
"A28078202"	2015	-34921
"A28078202"	2016	-34780
"A28078202"	2017	-34577
"A28814135"	2017	-34137
"B01292903"	2014	-33083
"A08023145"	2011	-32923
"A28078202"	2014	-32905
"A08136806"	2011	-32367
"A28893550"	2017	-32355
"A79201075"	2014	-31749.49
"A79201075"	2015	-31613
"A41461856"	2012	-31456.32
"B01292903"	2017	-31072
"A28893550"	2014	-30866
"A79201075"	2017	-30788.45
"A79201075"	2016	-30775.09
"A28893550"	2016	-30623
"A48025571"	2013	-30590
"A28893550"	2015	-30568
"B01292903"	2015	-30186
"A96966049"	2017	-30088
"A08023145"	2010	-29705
"A48025571"	2012	-29079
"A08046799"	2013	-29023
"B01292903"	2016	-28721
"A81944324"	2013	-28285
"A48025571"	2011	-27670
"B08100380"	2013	-27296
"B83616920"	2011	-27189
"A08136806"	2010	-27161
"A28600278"	2017	-26622
"A83150060"	2017	-26614
"B83616920"	2014	-26576
"A08023145"	2009	-26073
"A91291435"	2017	-25922.82
"A96966049"	2016	-25720
"A28396042"	2015	-25220
"A48025571"	2009	-25138
"A61427183"	2016	-25115.39
"B48948830"	2014	-24997.61
"A48025571"	2015	-24960
"A80316672"	2015	-24950
"A82335746"	2013	-24645.07
"B48948830"	2017	-24318.3
"B48948830"	2016	-24135.57
"B48948830"	2015	-24115.61
"A28600278"	2016	-23991
"A80316672"	2016	-23816
"A28396042"	2016	-23791
"A48025571"	2008	-23692
"A61427183"	2017	-23683.23
"B83325076"	2012	-23634.6
"A83150060"	2016	-23581
"A08023145"	2008	-23514
"A61427183"	2015	-23434.59
"A28057677"	2016	-23225.29
"A28057677"	2015	-22979.79
"B08100380"	2012	-22510
"A22174932"	2013	-22226
"A96966049"	2015	-22057
"A28078202"	2013	-21695
"A48025571"	2007	-21496.62
"A28600278"	2015	-21493
"A28057677"	2017	-21028.27
"A82307117"	2017	-20985
"A80316672"	2014	-20898
"A83150060"	2014	-20887
"A80316672"	2017	-20715
"A15685324"	2017	-20606.85
"A28078202"	2012	-20395
"A15685324"	2016	-20342.85
"A82335746"	2012	-20268.25
"A15685324"	2015	-20218.73
"A28057677"	2014	-20123.11
"A08136806"	2009	-20049
"A11355526"	2013	-19780.52
"A08023145"	2007	-19722
"A08332363"	2014	-19587.35
"A82307117"	2014	-19349
"A28002640"	2016	-19276.38
"A48025571"	2014	-19276
"B48969885"	2014	-19238.17
"B48969877"	2014	-19122.54
"A28078202"	2011	-19010
"B48969877"	2017	-18817.66
"B48969885"	2015	-18664.65
"B48969885"	2016	-18649.12
"B48969885"	2017	-18639.47
"B48969877"	2016	-18474.16
"A11355526"	2012	-18399.9
"A08046799"	2015	-18359
"B48969877"	2015	-17930.77
"A83150060"	2015	-17902
"A08046799"	2012	-17710
"A82307117"	2015	-17579
"A28002640"	2015	-17439.53
"B83325076"	2017	-17187
"A08046799"	2014	-17150
"A28078202"	2010	-17141
"B08100380"	2011	-16988
"A11355526"	2011	-16931.16
"A22174932"	2012	-16764
"A91291435"	2016	-16705.46
"B82207275"	2013	-16686
"A63776306"	2017	-16665
"B83325076"	2011	-16645.69
"A81944324"	2012	-16572
"V48566475"	2011	-16422.89
"A82307117"	2016	-16211
"B59886531"	2007	-16176.11
"A48114318"	2013	-16029.52
"A28985992"	2013	-15963.43
"A28002640"	2017	-15915.93
"A82335746"	2011	-15913.46
"B28757730"	2016	-15904.52
"B28757730"	2017	-15874.31
"V48566475"	2012	-15737.67
"A83048363"	2017	-15648.7
"A83048363"	2016	-15571.15
"B83325076"	2014	-15493.76
"V48566475"	2013	-15443.82
"A08136806"	2008	-15392
"A11355526"	2010	-15260.28
"A08046799"	2011	-15220
"A28396042"	2014	-14888
"A08332363"	2015	-14735.43
"B83616920"	2010	-14609
"A83048363"	2014	-14595.72
"A83048363"	2015	-14546.89
"A20031076"	2013	-14546
"A28078202"	2009	-14473
"A48114318"	2012	-14306.73
"B01218932"	2016	-14241
"B01218932"	2017	-14234
"A41461856"	2011	-14225.42
"A79259362"	2013	-13913.23
"F32001976"	2015	-13836.84
"A08046799"	2016	-13764
"B82207275"	2012	-13706
"B28757730"	2015	-13606.23
"A11355526"	2009	-13568.49
"A58816554"	2014	-13542.28
