nif	year	bai
"A28122992"	2015	-382398
"B82207275"	2012	-351096
"A28138873"	2014	-264061
"A61351540"	2015	-207328
"B84654201"	2016	-173334.7
"A28122992"	2016	-172549
"A28122992"	2008	-155227
"A85426971"	2017	-139080
"A28138873"	2017	-136242
"B82207275"	2013	-133941
"B01218932"	2016	-127452
"A28198661"	2016	-118272
"A14027635"	2016	-107953
"A28198661"	2017	-107416
"B14819643"	2016	-95566.58
"B01292903"	2016	-87748
"A28122992"	2011	-86262
"B01218932"	2017	-85927
"A28198661"	2015	-84560
"A28122992"	2010	-83935
"A61351540"	2014	-81979.2
"B14008999"	2016	-81285.73
"A28122992"	2014	-73571
"A28122992"	2009	-72881
"A28078202"	2007	-63608
"A28012342"	2016	-62108
"B83826230"	2014	-61021
"A28012342"	2015	-59813
"B83826230"	2017	-58523
"A28012342"	2012	-56672
"A09092305"	2015	-56548.28
"A28122992"	2012	-55164
"B63031660"	2010	-48222
"A80316672"	2017	-47510
"A28125920"	2015	-47487
"A61351540"	2016	-44981
"A80316672"	2008	-44233
"A31007743"	2015	-42497
"A08431090"	2017	-40650
"A35004571"	2017	-40481
"B61441127"	2015	-39921
"B84654201"	2014	-39123.29
"B95087482"	2017	-38912
"A28012342"	2017	-38740
"A28122992"	2007	-38220
"A28709053"	2016	-37526.76
"A61713301"	2015	-36373
"A08026197"	2012	-36065
"A33008921"	2017	-34469.68
"A08116147"	2007	-33590.5
"A08518979"	2016	-33341.81
"A28122992"	2017	-33214
"A46070777"	2017	-32972.89
"A33008921"	2015	-32813.08
"A28125920"	2017	-32570
"B61441127"	2017	-31798
"B95087482"	2016	-31540
"B83826230"	2013	-31352
"A09092305"	2016	-30699.58
"B14008999"	2017	-29992.7
"A28012342"	2011	-29606
"A82854811"	2015	-29587.37
"B14819643"	2017	-29069.22
"A28122992"	2013	-28921
"B62409065"	2012	-28791.26
"A28012342"	2014	-28326
"A28396042"	2016	-28254
"B01292903"	2017	-27993
"A28012342"	2013	-27586
"B78459815"	2016	-26827.77
"A83932475"	2016	-26632.56
"A08431090"	2015	-26428
"B62409065"	2011	-26143.81
"A82854811"	2016	-25627.07
"A82854811"	2014	-25117.9
"A28125920"	2016	-24644
"A85125078"	2016	-24058
"A61351540"	2017	-23705
"A31138761"	2014	-23349.35
"A08046799"	2015	-23124
"B78459815"	2017	-22955.8
"A46070777"	2014	-22409.14
"A33008921"	2016	-21892.61
"B83588657"	2013	-21368.91
"B83616920"	2013	-21243
"B83325076"	2014	-21144.42
"A31007743"	2017	-21142
"A81593808"	2014	-20940.99
"B83616920"	2014	-20656
"A82854811"	2017	-20653
"A08157737"	2016	-20547.83
"B83826230"	2015	-20495
"A28155240"	2017	-20359.45
"B83826230"	2012	-20348
"B62409065"	2010	-20075.81
"A02003754"	2016	-19661.62
"A48025571"	2017	-19313
"A28012342"	2010	-19221
"A08518979"	2017	-18821.05
"B22004113"	2015	-18797.83
"A20031076"	2017	-18596
"B78077724"	2016	-18572
"A08663684"	2016	-18027.57
"A28814135"	2016	-18004
"A14027635"	2015	-17799
"A20038915"	2008	-17191.69
"A81593808"	2017	-16833.96
"A12023693"	2016	-15743.95
"B83616920"	2012	-15664
"A28814135"	2017	-15552
"A38485827"	2007	-15059.3
"A80316672"	2012	-14848
"B82207275"	2009	-14734
"B61441127"	2016	-14592
"A28422335"	2016	-14580.22
"A12095295"	2017	-14562.1
"A97789861"	2016	-14513
"A08250425"	2009	-14354.31
"A81593808"	2011	-13830.94
"B84654201"	2013	-13764.74
"B84372051"	2013	-13571
"A04012258"	2016	-13463.83
"B82612896"	2017	-13258.41
"B28255016"	2015	-13212
"B83481002"	2016	-13038
"A28273241"	2017	-12994.8
"A35004571"	2016	-12867
"A28155240"	2015	-12792.66
"A28449569"	2015	-12651.14
"A80316672"	2007	-12360
"A28273043"	2009	-12209.07
"B28084168"	2017	-11998
"B83588657"	2012	-11984.57
"A80316672"	2013	-11949
"B84372051"	2014	-11935
"A46099776"	2016	-11826.42
"B62409065"	2009	-11789.12
"A28011286"	2015	-11763
"A08999088"	2016	-11700.29
"A08999088"	2015	-11674.04
"B50031749"	2017	-11618.44
"A78389608"	2015	-11478.94
"B84372051"	2015	-11186
"A85125078"	2014	-10847
"A97789861"	2017	-10820
"A08202715"	2016	-10812.14
"A04012258"	2017	-10770.85
"A28273043"	2015	-10644.82
"A20031076"	2016	-10478
"A14027635"	2017	-10388
"A08157737"	2014	-10304.05
"A08132805"	2012	-10220.55
"A08116147"	2008	-10204
"A28025435"	2015	-10164.18
"A28407484"	2015	-10158.34
"B81762684"	2012	-10152.45
"A07061161"	2017	-10103.43
"A60362266"	2009	-10003.71
"A82307117"	2017	-9995
"A28814135"	2015	-9982
"A85125078"	2017	-9929
"B38238788"	2014	-9820.451
"A08222465"	2016	-9809.531
"A03402468"	2016	-9773.845
"B37014388"	2016	-9744.185
"B28557064"	2016	-9674.565
"C28863686"	2015	-9667.383
"A33008426"	2015	-9578.292
"A12010948"	2016	-9564.087
"A61713301"	2013	-9563
"B84372051"	2016	-9523
"A81944324"	2010	-9503
"A80316672"	2011	-9349
"B31881055"	2014	-9333.616
"A08132805"	2013	-9286.225
"A08157737"	2015	-9235.865
"A08148991"	2009	-9166.912
"B08373250"	2017	-9114.193
"A81593808"	2007	-9110.87
"B83325076"	2013	-9101
"B22004113"	2017	-9097.638
"A50057322"	2016	-9058.042
"A38030680"	2016	-9027.744
"B97389209"	2011	-9014.933
"B30041115"	2015	-8989.929
"A20038915"	2009	-8956.332
"A35735083"	2014	-8790.891
"B82207275"	2007	-8753
"B84654201"	2015	-8701.135
"B63100150"	2010	-8635.382
"A80316672"	2016	-8548
"A07427081"	2016	-8512.019
"B08912669"	2009	-8462.025
"B83603746"	2017	-8447.344
"A80245129"	2009	-8347.073
"B82393778"	2016	-8337.316
"A08094435"	2015	-8325.856
"A46043154"	2016	-8305.759
"A08031544"	2017	-8267.859
"A08026197"	2013	-8207
"B78459815"	2015	-8137.777
"B43241769"	2016	-8074.809
"A08026197"	2014	-8046
"A83932475"	2017	-8042.239
"A46003265"	2015	-8031.889
"A12010948"	2017	-8028.48
"A28709053"	2015	-8014.434
"A07256100"	2017	-7975.003
"A60362266"	2010	-7963.721
"A78389608"	2016	-7924.16
"A78389608"	2014	-7915.091
"B84372051"	2017	-7843
"A07059058"	2016	-7838.333
"B22004113"	2016	-7821.855
"B07883457"	2017	-7799.754
"A39000187"	2008	-7796.233
"A81410227"	2015	-7775
"B28341790"	2016	-7773.525
"A82335746"	2013	-7735.922
"A28700383"	2016	-7539.252
"A83932475"	2015	-7512.008
"A28117398"	2016	-7505.991
"A53817359"	2016	-7493.713
"A46098521"	2009	-7485.565
"A12461802"	2016	-7396.37
"A84434224"	2014	-7389
"B85225282"	2015	-7344.348
"A28341055"	2009	-7313.665
"A28341055"	2008	-7266.859
"A60362266"	2015	-7262.083
"A41080144"	2013	-7213.83
"A20031076"	2015	-7204
"A28190973"	2015	-7129.301
"A46134250"	2015	-7073.942
"B91235622"	2015	-7073.31
"A46056255"	2015	-7064.063
"B31071178"	2007	-7009.245
"A08093015"	2016	-7005.744
"B83603746"	2015	-6988.828
"A83932475"	2014	-6965.726
"A08120859"	2010	-6870.149
"A08031544"	2016	-6854.989
"A46036380"	2012	-6853.271
"A08503005"	2014	-6835
"A28485571"	2017	-6770.894
"A08110249"	2017	-6750.451
"B97389209"	2013	-6723.568
"A81944324"	2009	-6668
"A36006021"	2013	-6600.056
"B62916077"	2012	-6570.209
"A78389608"	2017	-6520.567
"B28102556"	2011	-6517.079
"A08533945"	2017	-6512.076
"B29006574"	2017	-6502.433
"B46151411"	2014	-6499.35
"A08384638"	2015	-6476.796
"B62916077"	2014	-6463
"A12461802"	2007	-6447.937
"A29005782"	2016	-6435.846
"A16004665"	2013	-6433.411
"B83325076"	2011	-6427.568
"B50031749"	2016	-6370.643
"A60045903"	2015	-6301
"B83325076"	2010	-6254.047
"B30041115"	2016	-6233.424
"A38232526"	2015	-6224.046
"A35735083"	2015	-6216.78
"A41080144"	2012	-6206.809
"A21006507"	2015	-6168.179
"B62173604"	2017	-6167
"A33117995"	2010	-6128.932
"A60362266"	2011	-6111.873
"B28250090"	2017	-6073.513
"A33615980"	2013	-6047.438
"A82854811"	2013	-6003.623
"A08296790"	2016	-5983.513
"A31138761"	2015	-5944.979
"A38645214"	2016	-5940.522
"A20012498"	2016	-5938.496
"A30033898"	2014	-5924.884
"A82485335"	2011	-5924.39
"A41080144"	2011	-5917.604
