nif	year	clientes
"A28138873"	2014	-12423
"A08116147"	2014	-11322
"A81593808"	2014	-3777.959
"A35046911"	2014	-1722.803
"B50561968"	2014	-1063.285
"A28649879"	2014	-726.697
"A33055138"	2014	-684.641
"A06017941"	2014	-663.02
"A08626103"	2014	-548.113
"A79259339"	2014	-511.613
"A79290565"	2014	-487.16
"A79259388"	2014	-447.172
"A79259404"	2014	-310.88
"A79259362"	2014	-251.924
"A32007817"	2014	-231.343
"B60544046"	2014	-200.626
"B28227866"	2015	-162.506
"A50008390"	2014	-112.34
"F10017804"	2014	-61.316
"B58613076"	2014	-54.655
"B32003998"	2014	-30.969
"B61441127"	2014	-21
"A41049503"	2014	-17.866
"A81496382"	2014	-9.122
"A08934168"	2014	-.034
"A28046431"	2014	0
"A07086515"	2017	0
"A28649879"	2016	0
"A08999088"	2014	.002
"B83588657"	2016	.034
"A32006215"	2014	.038
"A09022963"	2017	.054
"A28283067"	2012	.102
"B28376184"	2015	.104
"A36643450"	2010	.123
"A82501545"	2016	.139
"A12029468"	2016	.151
"A12029468"	2014	.151
"A36010544"	2008	.185
"A32006215"	2012	.198
"A48119143"	2017	.224
"A08507741"	2012	.238
"A17034844"	2011	.24
"A08626939"	2017	.28
"A84911825"	2017	.36
"A28487007"	2009	.4
"A28487007"	2010	.4
"A35101732"	2015	.442
"A38014098"	2012	.449
"A33614082"	2017	.495
"B81308439"	2017	.512
"A58534777"	2013	.513
"A36643450"	2011	.532
"A35101732"	2016	.599
"A07009814"	2013	.606
"A08670929"	2011	.639
"A28075968"	2014	.641
"A31030901"	2016	.689
"B61567970"	2016	.772
"A08636177"	2013	.811
"A28075968"	2012	.856
"A36619476"	2017	.864
"A78753514"	2012	.874
"A58534777"	2014	.94
"A28814135"	2015	1
"B61567970"	2015	1
"A46072823"	2012	1
"A28487007"	2016	1.255
"A58534777"	2012	1.283
"A20037933"	2014	1.343
"B03072493"	2014	1.353
"A08636177"	2012	1.357
"A12029468"	2015	1.39
"A11000288"	2017	1.393
"A58534777"	2009	1.465
"A58534777"	2011	1.484
"A48016877"	2015	1.5
"B62059498"	2013	1.575
"A28814135"	2012	1.596
"B24008955"	2014	1.631
"A61831681"	2011	1.677
"B03072493"	2016	1.76
"A08626939"	2010	1.809
"A28345148"	2015	1.908
"A07086515"	2016	1.916
"B61567970"	2014	1.942
"B45493707"	2014	1.983
"B45493707"	2016	1.983
"B45493707"	2015	1.983
"B83211318"	2014	2
"A28198661"	2012	2
"A01012830"	2016	2.068
"A28487007"	2015	2.199
