nif	year	coste_mercaderias
"A03402468"	2016	-115235
"A31007743"	2015	-55377
"A28273043"	2017	-24721.41
"A53559530"	2010	-14069.05
"B84504455"	2013	-8379.266
"A53559530"	2009	-6537.716
"A46099776"	2011	-3726.766
"B96683347"	2010	-3669.212
"B83603746"	2013	-3013.83
"A12014569"	2007	-2913.66
"B82393778"	2010	-2859.606
"A28404614"	2013	-2831.447
"A04047700"	2007	-2708.97
"A33373622"	2011	-2646.97
"A28404614"	2017	-2626.484
"A29003951"	2013	-2520.097
"A53559530"	2011	-2301.139
"B96683347"	2009	-2243.557
"A42000901"	2011	-2045.867
"F06402697"	2011	-1943.167
"B83782169"	2013	-1863.174
"A38010997"	2011	-1762.391
"A04047700"	2010	-1714.221
"B27007897"	2013	-1710.463
"A28400323"	2010	-1695.644
"A28192532"	2011	-1472.155
"A09022963"	2007	-1471.002
"B83393223"	2010	-1328.544
"A28404614"	2014	-1268.78
"B83393223"	2011	-1212.009
"B83393223"	2012	-1187.225
"A28192532"	2009	-1179.221
"A28404614"	2012	-1164.023
"A79049797"	2014	-1148.053
"B82956517"	2016	-1136
"A09015256"	2007	-1096.164
"B82956517"	2015	-1057
"B06013841"	2010	-1014.508
"A78355278"	2007	-895.369
"A28283067"	2008	-888.96
"A04047700"	2009	-880.458
"A28404614"	2008	-618.378
"A15016595"	2007	-589.667
"A04413340"	2009	-493.044
"A48116420"	2013	-485.771
"A28184661"	2007	-461.428
"A46105532"	2013	-457.413
"B96683347"	2007	-442.3
"A28190973"	2016	-440.733
"A38027637"	2013	-438.398
"B82432725"	2008	-436.027
"B83782169"	2012	-427.185
"A78267309"	2017	-425.87
"A28293884"	2013	-414.485
"A09015256"	2008	-408.923
"B96683347"	2008	-399.47
"A36643450"	2017	-399.296
"A42000901"	2012	-371.408
"A47438262"	2012	-347.932
"A28134534"	2009	-345.356
"A28184661"	2008	-344.113
"A78355278"	2009	-342.871
"A38014098"	2008	-320.221
"A53559530"	2008	-312.807
"B08359093"	2009	-300.943
"A38027637"	2009	-284.279
"A36605772"	2013	-281.654
"B01213032"	2017	-278.677
"A63414486"	2017	-241
"A38010997"	2010	-230.318
"B82956517"	2017	-228
"A01007442"	2012	-210.339
"B45005279"	2010	-198.111
"A08170151"	2008	-174.9
"A36605772"	2012	-157.733
"B31850977"	2016	-152.532
"A15685324"	2015	-148.777
"A15012305"	2016	-128.233
"A97628242"	2015	-122.499
"A36643450"	2015	-120.404
"A12363529"	2015	-109.636
"A09354176"	2014	-101.386
"A36605772"	2011	-101.379
"B33876459"	2008	-100.665
"A36643450"	2014	-93.981
"A97628242"	2014	-88.807
"A35115856"	2013	-85.137
"A97628242"	2013	-73.263
"A28290799"	2007	-67.217
"A04047700"	2011	-62.988
"A28693166"	2010	-56.154
"A25026733"	2016	-44.578
"A78905908"	2013	-44.544
"B48907885"	2010	-39.007
"A28396042"	2011	-28
"A36643450"	2016	-26.574
"A12363529"	2009	-25.149
"A46081881"	2009	-23.392
"A12363529"	2012	-21.394
"A12363529"	2010	-21.009
"A12363529"	2014	-17
"A22271209"	2013	-6.968
"A38013272"	2015	-6.865
"A28184661"	2009	-6.339
"B06013841"	2012	-6.239
"A35115856"	2008	-6
"A78905908"	2012	-5.819
"B08156036"	2015	-5.102
"A60850500"	2011	-4.774
"B08156036"	2016	-4.408
"B28692044"	2016	-4.314
"A28396042"	2009	-4
"A35115856"	2007	-.97
"A12363529"	2008	-.811
"B85010643"	2016	-.535
"B29006574"	2015	-.522
"A35115856"	2009	-.36
"A15685324"	2010	-.279
"B29006574"	2017	-.214
"B08156036"	2017	-.064
"B78077724"	2012	0
"V48566475"	2011	0
"A42000802"	2011	0
"A08145385"	2010	0
"A28295806"	2009	0
"A07035934"	2009	0
"B61914883"	2007	0
"B48969877"	2009	0
"A80959612"	2014	0
"A79092573"	2013	0
"A08145385"	2008	0
"A48080147"	2009	0
"A28923662"	2008	0
"B83325076"	2009	0
"A22271209"	2012	0
"B81335473"	2012	0
"A35517671"	2007	0
"B83325076"	2012	0
"A63414486"	2011	0
"A08377046"	2014	0
"A17006792"	2013	0
"A33055138"	2012	0
"A35610666"	2010	0
"A63414486"	2012	0
"A28058725"	2011	0
"A80482334"	2007	0
"A48050728"	2010	0
"B38318572"	2009	0
"A28923662"	2007	0
"A45445210"	2010	0
"A57082570"	2011	0
"B74114182"	2012	0
"A82026840"	2007	0
"V82171133"	2011	0
"A07035934"	2011	0
"A62415641"	2009	0
"A53242152"	2011	0
"A20028676"	2012	0
"A83150060"	2011	0
"B38318572"	2012	0
"A42000802"	2009	0
"A78018421"	2013	0
"A78018421"	2014	0
"A78018421"	2012	0
"B61252185"	2009	0
"A28637304"	2010	0
"A28126597"	2009	0
"A82307117"	2008	0
"B43590272"	2008	0
"A28023422"	2013	0
"A78831369"	2007	0
"A28126597"	2013	0
"A28985992"	2007	0
"B83325076"	2013	0
"A82198847"	2012	0
"A78831369"	2010	0
"A48031140"	2010	0
"A42000802"	2012	0
"A28058725"	2012	0
"A81410227"	2009	0
"A35115856"	2010	0
"V95436002"	2013	0
"B81907776"	2007	0
"B18547281"	2011	0
"A78526811"	2008	0
"A07035934"	2013	0
"A96785225"	2012	0
"A33055138"	2010	0
"A28143782"	2012	0
"A28923662"	2010	0
"B38484796"	2008	0
"A81487027"	2010	0
"A96785225"	2011	0
"B63031660"	2011	0
"A35510650"	2010	0
"B97389209"	2011	0
"B31881055"	2013	0
"B95388450"	2013	0
"B83325076"	2010	0
"A33603317"	2007	0
"B78908605"	2011	0
"A48547558"	2009	0
"A38645214"	2010	0
"A45445210"	2008	0
"A83150060"	2012	0
"A28295806"	2011	0
"B78496759"	2008	0
"B62059498"	2007	0
"A28637304"	2012	0
"B48948830"	2013	0
"A96785225"	2010	0
"A09354176"	2011	0
"A15685324"	2011	0
"A08377046"	2013	0
"A48802854"	2013	0
"A80732142"	2013	0
"A38645214"	2012	0
"B63031660"	2010	0
"B48969885"	2009	0
"V48566475"	2008	0
"A41191313"	2011	0
"A28198661"	2008	0
"B01015221"	2013	0
"A78526811"	2010	0
"B83782169"	2011	0
"A08999088"	2007	0
"B82435371"	2008	0
"A45445210"	2007	0
"A78831369"	2009	0
"A82198847"	2009	0
"A60045903"	2007	0
"A28143782"	2007	0
"A28143782"	2013	0
"B81335473"	2011	0
"A33202474"	2010	0
"B95271326"	2012	0
"B18551226"	2010	0
"V83443390"	2014	0
"B62059498"	2013	0
"A08257529"	2011	0
