nif	year	deudas_financ
"A28670636"	2011	0
"A33610106"	2013	0
"A08141038"	2013	0
"A03066909"	2010	0
"A14009823"	2010	0
"A33618257"	2008	0
"A03099405"	2012	0
"A33373622"	2010	0
"A08396830"	2013	0
"A28600278"	2010	0
"A08507741"	2009	0
"B30603229"	2009	0
"A46092094"	2014	0
"G38004297"	2010	0
"B33614033"	2012	0
"A05007687"	2011	0
"A05007687"	2013	0
"A79259339"	2012	0
"A28523470"	2011	0
"B96990015"	2009	0
"A28485761"	2012	0
"A21006911"	2009	0
"A39000104"	2009	0
"A07010937"	2008	0
"A36011385"	2012	0
"A20017604"	2008	0
"B17016254"	2014	0
"A03021409"	2008	0
"A28670636"	2013	0
"A15016702"	2012	0
"A15017163"	2007	0
"A08363640"	2013	0
"A08145385"	2012	0
"A28440576"	2013	0
"B03044641"	2013	0
"A28075968"	2013	0
"A08514986"	2013	0
"A01007137"	2012	0
"A41001439"	2012	0
"B09019548"	2014	0
"A79259388"	2010	0
"B30037204"	2011	0
"B30000574"	2010	0
"A41008301"	2008	0
"A11902814"	2010	0
"B50030964"	2007	0
"A08396830"	2011	0
"A28814135"	2011	0
"B08136905"	2012	0
"A28112555"	2007	0
"A07265465"	2009	0
"A81722712"	2008	0
"A28729424"	2013	0
"A26270322"	2013	0
"A09018862"	2009	0
"A08396830"	2009	0
"A08713869"	2010	0
"B28460681"	2012	0
"A48034110"	2013	0
"B50021658"	2011	0
"A01002864"	2010	0
"A07059058"	2007	0
"B08078396"	2009	0
"A28374148"	2008	0
"A28128486"	2010	0
"A08513749"	2012	0
"A08128035"	2012	0
"A08270993"	2008	0
"B30037204"	2014	0
"A08147555"	2007	0
"A04006706"	2013	0
"A07018112"	2010	0
"B03078391"	2008	0
"A81593808"	2007	0
"A79290565"	2009	0
"B35018332"	2008	0
"B03010634"	2007	0
"A28600278"	2008	0
"A28923662"	2011	0
"A46068318"	2014	0
"A17010018"	2013	0
"A11606134"	2012	0
"A08275281"	2013	0
"B39008404"	2013	0
"A28523470"	2007	0
"A08277014"	2009	0
"A08278293"	2014	0
"A30034441"	2011	0
"A14030027"	2014	0
"A11606134"	2010	0
"A28198356"	2007	0
"A30034441"	2010	0
"B03004801"	2007	0
"A48050124"	2014	0
"A25020629"	2008	0
"A17004763"	2013	0
"A33610106"	2012	0
"B13004924"	2014	0
"A39013867"	2013	0
"A08358442"	2012	0
"A28637304"	2007	0
"A78018421"	2009	0
"A28345148"	2009	0
"A14012819"	2007	0
"A15017163"	2009	0
"B83840900"	2017	0
"B50021658"	2010	0
"A33015454"	2014	0
"B09019548"	2013	0
"A38017844"	2007	0
"A30034441"	2009	0
"A28374148"	2010	0
"A07265465"	2014	0
"B31089071"	2010	0
"A28523470"	2010	0
"A12016143"	2008	0
"A08141038"	2010	0
"A46055992"	2007	0
"A08436214"	2013	0
"A05007687"	2010	0
"A50047505"	2012	0
"A28058758"	2011	0
"A08575672"	2009	0
"A15000227"	2011	0
"B11605862"	2012	0
"A04017497"	2010	0
"B27008390"	2008	0
"A13006903"	2011	0
"A08513749"	2014	0
"A79049797"	2012	0
"A20024568"	2014	0
"G38004297"	2014	0
"A36011385"	2011	0
"A24056319"	2013	0
"A08421190"	2010	0
"A20074167"	2014	0
"A24007072"	2009	0
"A14009823"	2009	0
"A79259362"	2010	0
"A14009823"	2011	0
"B33614033"	2011	0
"A11902814"	2012	0
"A81722712"	2012	0
"A08128035"	2009	0
"B09019548"	2011	0
"A08576753"	2014	0
"A07012826"	2011	0
"A08595324"	2010	0
"A08595324"	2014	0
"A15016702"	2014	0
"A08358442"	2014	0
"A38024345"	2009	0
"A28923662"	2010	0
"A08514028"	2009	0
"A81722712"	2014	0
"A62400718"	2010	0
"B08136905"	2010	0
"F28698488"	2013	0
"A13006903"	2007	0
"B32001687"	2010	0
"B03078391"	2010	0
"A20017604"	2007	0
"A35014075"	2007	0
"A48084909"	2013	0
"A30036933"	2013	0
"A28749976"	2009	0
"A08630808"	2013	0
"A50011980"	2008	0
"B38017067"	2012	0
"A09018862"	2007	0
"A09018862"	2010	0
"A03026697"	2014	0
"A13006903"	2008	0
"A09028184"	2009	0
"A29507456"	2011	0
"A41008301"	2010	0
"A10010445"	2015	0
"A28581247"	2011	0
"A11012572"	2008	0
"A46055992"	2008	0
"A41010521"	2012	0
"A08514986"	2011	0
"A28143782"	2013	0
"A79049797"	2013	0
"A20018610"	2011	0
"A14009823"	2008	0
"B26011627"	2013	0
"A03062619"	2011	0
"A08012270"	2010	0
"A43001627"	2012	0
"A28293884"	2011	0
"A20036083"	2010	0
"A33055138"	2013	0
"A12083002"	2007	0
"A12083002"	2010	0
"A08358442"	2013	0
"A12083002"	2014	0
"B03028784"	2014	0
"A28128486"	2008	0
"A29507456"	2014	0
"B10010775"	2010	0
"A38225041"	2011	0
"A25007105"	2013	0
"B03091527"	2009	0
"A14009823"	2007	0
"B27008390"	2007	0
"B08271694"	2013	0
"B12523601"	2013	0
"A79259362"	2014	0
"A19011626"	2009	0
"A28749976"	2010	0
"A30047120"	2014	0
"A15000227"	2014	0
"A08479933"	2014	0
"A29035896"	2010	0
"A28668127"	2011	0
"A15016702"	2007	0
"A15016702"	2011	0
"B35006360"	2010	0
"A15017163"	2010	0
"A08636177"	2013	0
"B28579506"	2008	0
"A38026605"	2011	0
"A24007072"	2008	0
"A79259388"	2012	0
"A41008301"	2009	0
"A16008294"	2008	0
"A16008294"	2012	0
"A36011385"	2013	0
"A08170151"	2014	0
"A33014176"	2012	0
"A39007729"	2009	0
"B31077514"	2012	0
"B28350965"	2012	0
"A08026072"	2008	0
"A08026072"	2014	0
"A28058725"	2008	0
"A08688095"	2014	0
"A28112555"	2009	0
"A41022989"	2010	0
"A29035896"	2008	0
"B09019548"	2008	0
"B28337731"	2007	0
"A14000939"	2009	0
"A16008294"	2010	0
"A46068318"	2012	0
"B12008397"	2012	0
"A46063731"	2014	0
"A19011626"	2012	0
"A06163851"	2011	0
"A50052489"	2008	0
"B35388867"	2011	0
"A16008294"	2013	0
"A08121089"	2014	0
"A20018610"	2012	0
"B96990015"	2010	0
"A30036438"	2014	0
"B35018332"	2011	0
"A20036083"	2009	0
"A28715027"	2010	0
"A82198847"	2009	0
"A08514986"	2007	0
"A13010004"	2013	0
"A08128035"	2008	0
"A30005524"	2008	0
"A50040013"	2013	0
"A01002864"	2009	0
"A46068318"	2008	0
"A08436214"	2014	0
"A35014075"	2012	0
"A48073274"	2010	0
"B41033143"	2014	0
"A28143782"	2012	0
"V48566475"	2009	0
"A41001439"	2014	0
"B39021217"	2014	0
"A08358442"	2007	0
"G07065709"	2009	0
"A17019316"	2014	0
"A20574372"	2011	0
"A60453271"	2007	0
"B28701340"	2013	0
"A79290565"	2008	0
"A08128035"	2011	0
"A28145498"	2008	0
"B28350965"	2008	0
"B03044641"	2012	0
"A39013867"	2010	0
"A36011385"	2010	0
"A03026697"	2012	0
"A58394941"	2011	0
"B08642324"	2007	0
"A41014986"	2010	0
"A28112555"	2008	0
"A03018710"	2013	0
"A28145191"	2008	0
"A35031343"	2010	0
"A28485761"	2007	0
"A29063567"	2011	0
"A35014075"	2011	0
"B41063355"	2008	0
"A28070167"	2009	0
"B50030964"	2008	0
"A34003624"	2011	0
"A34003624"	2009	0
"B08292054"	2013	0
"A08513749"	2010	0
"A33610106"	2014	0
"B35015262"	2008	0
"B28218816"	2013	0
"A28374148"	2014	0
"A41027723"	2009	0
"B73456147"	2014	0
"B33614033"	2014	0
"A33015454"	2013	0
"A33014176"	2009	0
"A33014176"	2008	0
"B63805295"	2014	0
"A34003624"	2010	0
"B28270411"	2008	0
"A39007729"	2012	0
"B50030964"	2009	0
"A33014176"	2010	0
"A48031140"	2007	0
"A08414906"	2015	0
"A08414906"	2008	0
"A03734514"	2008	0
"B28341790"	2007	0
"A82307117"	2008	0
"A30047120"	2012	0
"A45014610"	2013	0
"A28019461"	2013	0
"A28293884"	2012	0
"B08078396"	2007	0
"A03066909"	2011	0
"B28460681"	2011	0
"A41010521"	2014	0
"B03044641"	2007	0
"A28668127"	2012	0
"A03099405"	2010	0
"A02010510"	2008	0
"A08128035"	2007	0
"B28218287"	2012	0
"B96990015"	2011	0
"B35054006"	2009	0
"B43587120"	2009	0
"A08132805"	2010	0
"B01013507"	2010	0
"A50030543"	2014	0
"A41027723"	2012	0
"A41027723"	2011	0
"A30047120"	2010	0
"B26011627"	2007	0
"A08637829"	2011	0
"A14030027"	2013	0
"B39021217"	2010	0
"B29901469"	2009	0
"A28253656"	2013	0
"B45018017"	2013	0
"B28270411"	2007	0
"A30005524"	2016	0
"A08128035"	2010	0
"A29507456"	2013	0
"G38004297"	2011	0
"A33373622"	2011	0
"A08102410"	2014	0
"A11606134"	2007	0
"A41088493"	2013	0
"A79259339"	2013	0
"A07059058"	2010	0
"A29033420"	2011	0
"A08141038"	2011	0
"B08136905"	2008	0
"A29018249"	2008	0
"F10017804"	2010	0
"G07065709"	2008	0
"B41070020"	2012	0
"B28205532"	2013	0
"B28337731"	2010	0
"A11902814"	2014	0
"B30603229"	2011	0
"A35144989"	2010	0
"A28375913"	2013	0
"A82683434"	2009	0
"A28668127"	2009	0
"B11009917"	2010	0
"A28058725"	2013	0
"A08595324"	2012	0
"B03039781"	2008	0
"A28577864"	2013	0
"F10017804"	2013	0
"A28637304"	2014	0
"A28058725"	2012	0
"A38225041"	2013	0
"A28581247"	2012	0
"A33614082"	2013	0
"A29063567"	2014	0
"A38026605"	2010	0
"B41072471"	2014	0
"A41022989"	2012	0
"A08026635"	2007	0
"A58534777"	2012	0
"A29507456"	2012	0
"A34003624"	2013	0
"B08271694"	2014	0
"A11605409"	2009	0
"A28046704"	2013	0
"B11605862"	2007	0
"A78879079"	2011	0
"B58779018"	2012	0
"A79259388"	2007	0
"A28172476"	2013	0
"A26014035"	2009	0
"A08128035"	2014	0
"A79259404"	2014	0
"A28494896"	2011	0
"A20557294"	2007	0
"A81864498"	2010	0
"A07265465"	2007	0
"B32001687"	2008	0
"A27005834"	2009	0
"A28198356"	2013	0
"B04001848"	2013	0
"A28695021"	2010	0
"A28011872"	2009	0
"A79259388"	2008	0
"B50030964"	2010	0
"A13006903"	2009	0
"A13010004"	2008	0
"A03018710"	2012	0
"A33014176"	2007	0
"A48050439"	2011	0
"A21007570"	2012	0
"A79259339"	2014	0
"A41027723"	2013	0
"A28054211"	2014	0
"A28687978"	2012	0
"A79092573"	2008	0
"A13010004"	2009	0
"A08026072"	2012	0
"A28173573"	2007	0
"B81542813"	2014	0
"A13006903"	2010	0
"B81542813"	2013	0
"A28112555"	2013	0
"A46146551"	2008	0
"A28125920"	2007	0
"A28128486"	2007	0
"A28058725"	2009	0
"A20073169"	2013	0
"A28412724"	2013	0
"A28923662"	2007	0
"B08078396"	2008	0
"A35014075"	2009	0
"A28019461"	2012	0
"B26011627"	2008	0
"A28581247"	2009	0
"B09019548"	2012	0
"A29063567"	2009	0
"A17010018"	2007	0
"A28198356"	2009	0
"A28198356"	2014	0
"A08358442"	2009	0
"G38004297"	2013	0
"A28577864"	2009	0
"A08203887"	2007	0
"A46068318"	2007	0
"A33055138"	2014	0
"A11019767"	2009	0
"A28058725"	2010	0
"A08358442"	2010	0
"A01007137"	2010	0
"A28494896"	2013	0
"A28494896"	2012	0
"A15033699"	2014	0
"A28485761"	2014	0
"A41008301"	2007	0
"B50030964"	2014	0
"A08688095"	2011	0
"B48070155"	2012	0
"A21006507"	2007	0
"A08141038"	2012	0
"V48566475"	2013	0
"A28345148"	2013	0
"A16007064"	2009	0
"A28440576"	2014	0
"A28668127"	2013	0
"A16007064"	2013	0
"B30037204"	2013	0
"A08026072"	2009	0
"A38026605"	2012	0
"B28350965"	2009	0
"A24007072"	2010	0
"A28219202"	2014	0
"A08141038"	2014	0
"A28577864"	2012	0
"A28293884"	2010	0
"B50021658"	2012	0
"A07059058"	2008	0
"A28577864"	2011	0
"A28345148"	2010	0
"A07019573"	2013	0
"A28374148"	2009	0
"A12083002"	2012	0
"A29063567"	2008	0
"A27252063"	2014	0
"A28293884"	2007	0
"A28686111"	2011	0
"A20074167"	2012	0
"A50040013"	2012	0
"A14009823"	2012	0
"A35014075"	2013	0
"A28293884"	2014	0
"A08421190"	2008	0
"A30005524"	2014	0
"A13006903"	2012	0
"A46092094"	2007	0
"B31077514"	2010	0
"A45013620"	2012	0
"A28670636"	2007	0
"A38003133"	2010	0
"A01002864"	2012	0
"A07059058"	2011	0
"A81722712"	2010	0
"B46131371"	2007	0
"A47024393"	2010	0
"A08141038"	2007	0
"A32006579"	2014	0
"A03062619"	2010	0
"A08277014"	2010	0
"A08513749"	2009	0
"A08637829"	2013	0
"G07065709"	2007	0
"A08413403"	2013	0
"A45013620"	2014	0
"A08105371"	2010	0
"A45013620"	2013	0
"A28412724"	2012	0
"A08097438"	2009	0
"A08479933"	2013	0
"B41063355"	2016	0
"A08414906"	2011	0
"A17019316"	2011	0
"B50021658"	2013	0
"A47024393"	2011	0
"A46055992"	2011	0
"A20065744"	2012	0
"A79290565"	2010	0
"A48016794"	2010	0
"A20017604"	2009	0
"A48016794"	2013	0
"A08421190"	2011	0
"A08514986"	2012	0
"A48016794"	2014	0
"A79049797"	2007	0
"A53552634"	2010	0
"B83541912"	2014	0
"A28245355"	2014	0
"B08078396"	2012	0
"B30000574"	2014	0
"F10017804"	2012	0
"B01013507"	2008	0
"A47024393"	2013	0
"A48031140"	2008	0
"A14000533"	2007	0
"A41014986"	2007	0
"A48031140"	2011	0
"A08102410"	2013	0
"A97628242"	2012	0
"A08304628"	2011	0
"A14000533"	2008	0
"A38026605"	2013	0
"A58534777"	2014	0
"A39000104"	2012	0
"A48031140"	2009	0
"A28012359"	2007	0
"V57525560"	2016	0
"A17010018"	2014	0
"B26011627"	2009	0
"B26011627"	2010	0
"A34003624"	2012	0
"B30603229"	2010	0
"F10017804"	2008	0
"A50011980"	2007	0
"A07086515"	2010	0
"B27008390"	2009	0
"B08078396"	2010	0
"B27008390"	2014	0
"A30047120"	2009	0
"A48050124"	2013	0
"A07010937"	2007	0
"B10010775"	2011	0
"A24056319"	2014	0
"A08396830"	2008	0
"A28645000"	2009	0
"A07265465"	2010	0
"A28167567"	2013	0
"A28075968"	2014	0
"A92153527"	2012	0
"A07265465"	2011	0
"A82683434"	2011	0
"A28148898"	2007	0
"A79259362"	2007	0
"B45018017"	2014	0
"A24012692"	2014	0
"A07013907"	2011	0
"A16008294"	2007	0
"A03167939"	2011	0
"A33014176"	2011	0
"A33610106"	2007	0
"A45007614"	2008	0
"A08396830"	2014	0
"A43702745"	2014	0
"G38004297"	2008	0
"B35006360"	2012	0
"B12008397"	2010	0
"B30000574"	2012	0
"A28245355"	2013	0
"A08514986"	2008	0
"A28362127"	2007	0
"A16008294"	2014	0
"A28581247"	2013	0
"B46131371"	2009	0
"A08513749"	2007	0
"B41033143"	2015	0
"B39021217"	2012	0
"B31077514"	2013	0
"A38003133"	2014	0
"B08688301"	2014	0
"F46026829"	2011	0
"B01013507"	2007	0
"A08387854"	2013	0
"A41022989"	2011	0
"A83048363"	2010	0
"A46074647"	2007	0
"A33015454"	2010	0
"A08421190"	2009	0
"B35388867"	2010	0
"B43009091"	2011	0
"A95249199"	2010	0
"A12083002"	2011	0
"B08292054"	2007	0
"A50030543"	2013	0
"A08452500"	2013	0
"A33055138"	2012	0
"A39000104"	2010	0
"B78908605"	2012	0
"B03091527"	2008	0
"A34009936"	2009	0
"A08637829"	2008	0
"A28375913"	2012	0
"A36011385"	2009	0
"A45019916"	2007	0
"A78018421"	2013	0
"A20036083"	2008	0
"B08292054"	2008	0
"A28293884"	2009	0
"B78908605"	2014	0
"A33034695"	2014	0
"A79259404"	2009	0
"B07039514"	2014	0
"B36009942"	2014	0
"B08688301"	2013	0
"A19011626"	2011	0
"A21007570"	2013	0
"B07039514"	2010	0
"A17010018"	2008	0
"A21006911"	2011	0
"A59954487"	2009	0
"A20049755"	2013	0
"A28485761"	2013	0
"A48116420"	2013	0
"B03091527"	2010	0
"A48876874"	2014	0
"A08270993"	2011	0
"B20056255"	2013	0
"B38017554"	2016	0
"B28218816"	2012	0
"B38017554"	2013	0
"A82683434"	2008	0
"A81000028"	2009	0
"B03078391"	2011	0
"A43019868"	2014	0
"B39021217"	2011	0
"A79259404"	2007	0
"A80352750"	2013	0
"A28687978"	2013	0
"A28293884"	2013	0
"B35011675"	2010	0
"A28695856"	2013	0
"A28581247"	2010	0
"A50012822"	2013	0
"A28668127"	2010	0
"B39008404"	2014	0
"A50052489"	2009	0
"A08275281"	2014	0
"B31007354"	2009	0
"A43016757"	2009	0
"A28412724"	2014	0
"A33614082"	2014	0
"B28623213"	2013	0
"A08575672"	2010	0
"A33014176"	2014	0
"B01013507"	2009	0
"A39000104"	2014	0
"A28600278"	2009	0
"A08257388"	2012	0
"A41008301"	2014	0
"A28198356"	2008	0
"A30047120"	2011	0
"B28579506"	2009	0
"B30000574"	2016	0
"A08513749"	2011	0
"A36619476"	2014	0
"A79290565"	2007	0
"A41008301"	2011	0
"A41010521"	2008	0
"A28695021"	2012	0
"A41010521"	2011	0
"A79259404"	2012	0
"A79259404"	2011	0
"A79259404"	2010	0
"A28695856"	2014	0
"A46068318"	2009	0
"F10017804"	2011	0
"B46155271"	2014	0
"A11012572"	2009	0
"A79259362"	2012	0
"G38004297"	2009	0
"A29063567"	2012	0
"A35031343"	2014	0
"A28058725"	2011	0
