nif	year	deudores
"A28658177"	2011	-3017.555
"A29063567"	2009	-36.561
"B47014568"	2009	0
"A80632573"	2009	0
"B08271694"	2009	0
"B18547281"	2010	0
"A28011286"	2009	0
"B35054006"	2011	0
"B35054006"	2009	0
"B61967774"	2010	0
"A79203568"	2013	0
"B08271694"	2012	0
"B28193340"	2008	0
"B35054006"	2010	0
"B31881055"	2016	.001
"B61252185"	2009	.058
"B83782169"	2011	.15
"B38025920"	2015	.153
"B81762684"	2016	.213
"B35054006"	2014	.25
"B31881055"	2015	.354
"B35054006"	2012	.355
"B60024353"	2009	.417
"A83401273"	2012	.446
"B38025920"	2013	.5
"A36605772"	2008	.54
"B84822832"	2016	.541
"A33614082"	2017	.595
"A35735083"	2012	1.034
"B84654201"	2017	1.089
"A35610666"	2007	1.16
"A80632573"	2015	1.52
"A01376888"	2017	2.261
"A17007014"	2009	2.441
"B35054006"	2013	2.979
"A53242152"	2016	3.781
"A33614082"	2016	4.29
"A41059445"	2009	4.53
"B81762684"	2017	4.885
"B84654201"	2013	5.036
"A36605772"	2007	5.17
"B03072493"	2014	5.409
"B08271694"	2011	5.75
"A33614082"	2015	5.916
"A48080147"	2017	6.325
"B84894377"	2016	6.344
"A48016877"	2015	6.488
"A53242152"	2013	6.532
"B28701340"	2014	7.468
"A97789861"	2015	8
"B03072493"	2013	8.35
"A80632573"	2010	8.392
"A79203568"	2012	9
"A96773940"	2010	9.519
"A45012226"	2009	9.52
"B03072493"	2016	9.564
"A33014176"	2012	9.637
"B83481002"	2015	10
"B45493707"	2016	10.061
"A97628242"	2012	10.512
"A78688934"	2016	10.673
"B91629634"	2014	11.408
"A48119143"	2016	12.811
"A07086515"	2017	12.92
"A08670929"	2014	14.054
"A28487007"	2016	14.429
"A82501545"	2016	14.458
"B31067697"	2013	14.468
"A82854811"	2016	15.272
"A01376888"	2016	16.128
"B84894377"	2017	16.329
"A82854811"	2017	17.347
"A35610666"	2008	18.107
"A53242152"	2011	18.28
"B61967774"	2015	18.6
"A35046572"	2007	19.064
"A08401184"	2015	19.452
"B35015262"	2008	19.809
"A33014176"	2013	19.845
"A33014176"	2016	20.494
"A35610666"	2009	21.405
"A28695856"	2017	21.749
"A33014176"	2017	22.33
"B61425682"	2010	23.357
"B08271694"	2014	23.658
"A33014176"	2011	23.845
"A33014176"	2014	24.099
"B08271694"	2008	24.722
"B17014887"	2013	24.891
"A28485761"	2014	25.474
"B03072493"	2012	25.61
"A28485761"	2010	26.385
"A15020795"	2017	26.453
"A63645220"	2016	27.649
"B08271694"	2015	28.34
"A63796395"	2017	28.719
"A28485761"	2007	29.148
"B08271694"	2007	29.294
"A35735083"	2011	29.466
"A28485761"	2008	29.92
"B28494797"	2014	30.45
"B09417932"	2013	30.684
"A11957792"	2008	30.981
"A28023422"	2012	32.114
"A80632573"	2011	32.15
"A53242152"	2015	32.767
"A82854811"	2008	33.582
"A08401184"	2016	33.786
"A48016877"	2014	35.1
"B35015262"	2017	37.024
"A28485761"	2011	37.678
"B14819643"	2015	37.722
"B07025315"	2011	37.915
"A28485761"	2012	37.924
"A48016877"	2017	38.16
"A28485761"	2009	38.413
"A08401184"	2017	38.473
"A15169535"	2013	38.479
"A80632573"	2012	39.237
"A63645220"	2017	39.308
"A09022963"	2009	39.536
"A28485761"	2016	40.74
"A08636177"	2013	41.077
"B83393223"	2015	41.736
"A38014098"	2011	41.843
"A09022963"	2013	42.413
"A28485761"	2017	42.76
"A08636177"	2012	43.099
"B35015262"	2010	43.274
"B35015262"	2016	43.526
"A78355278"	2007	44.376
"A41059445"	2011	44.73
"A45020450"	2017	45.99
"A28290799"	2017	46.216
"B97861843"	2014	48.7
"A28485761"	2015	49.145
"A39005574"	2017	49.387
"B14819643"	2016	49.822
"B97861843"	2017	50
"A08670929"	2015	50.558
"B33602707"	2017	50.607
