nif	year	existencias
"V57525560"	2015	-4.963
"A07265465"	2013	0
"A22174932"	2013	0
"A30021877"	2010	0
"A35046572"	2007	0
"A08952012"	2010	0
"A08431090"	2010	0
"A60045903"	2007	0
"B81231516"	2009	0
"B81335473"	2011	0
"A30418255"	2009	0
"A06141345"	2013	0
"A78688934"	2011	0
"A78018421"	2008	0
"A08005688"	2008	0
"A82198847"	2009	0
"A78400603"	2008	0
"A15685373"	2008	0
"A28143782"	2011	0
"A28138873"	2010	0
"A08952012"	2013	0
"A62704457"	2011	0
"A30021877"	2008	0
"A28023422"	2012	0
"A30021877"	2009	0
"A36040442"	2012	0
"A08005761"	2008	0
"A33600107"	2013	0
"A46463311"	2012	0
"A28143782"	2009	0
"A82854811"	2009	0
"A81841850"	2010	0
"B35023068"	2009	0
"B96952635"	2010	0
"A28923662"	2012	0
"A35115856"	2010	0
"A38645214"	2009	0
"A15169535"	2012	0
"B83211318"	2012	0
"A08257529"	2011	0
"A96773940"	2012	0
"A29661394"	2012	0
"B30020226"	2011	0
"A96945530"	2008	0
"B62059498"	2007	0
"A81047375"	2007	0
"A28126597"	2008	0
"A29955093"	2009	0
"A63414486"	2013	0
"B03046158"	2012	0
"A63414486"	2011	0
"A79259404"	2010	0
"B82435371"	2008	0
"A28294718"	2008	0
"A28086858"	2010	0
"B35023068"	2012	0
"A12363529"	2011	0
"A35811272"	2012	0
"A83150060"	2011	0
"A17006792"	2013	0
"A78020732"	2013	0
"A29453768"	2013	0
"A42000802"	2010	0
"B60544046"	2013	0
"B60544046"	2011	0
"A38013272"	2012	0
"A17012626"	2011	0
"A96773940"	2013	0
"A08145385"	2007	0
"A82307117"	2012	0
"B74114182"	2012	0
"A82683434"	2012	0
"A28126597"	2012	0
"A20008579"	2013	0
"A61831681"	2007	0
"A24010381"	2008	0
"A20008579"	2012	0
"A20008579"	2009	0
"A30418255"	2012	0
"A60045903"	2009	0
"A96785225"	2011	0
"A30021877"	2007	0
"B78908605"	2013	0
"A07035934"	2012	0
"B28270411"	2009	0
"A28505402"	2008	0
"A47091632"	2013	0
"A08005688"	2011	0
"A80632573"	2009	0
"A28637304"	2013	0
"B63031660"	2011	0
"A79259388"	2007	0
"A33055138"	2013	0
"B82435371"	2011	0
"A08131153"	2008	0
"A08952012"	2011	0
"A48047377"	2011	0
"A79092573"	2009	0
"B15596331"	2008	0
"A83150060"	2012	0
"A82307117"	2007	0
"A30418255"	2011	0
"A50615160"	2013	0
"A57277709"	2013	0
"B91139717"	2013	0
"A61713301"	2012	0
"B28127447"	2011	0
"A45445210"	2013	0
"A28219541"	2012	0
"A28814135"	2013	0
"B80146517"	2007	0
"B62263272"	2011	0
"B78496759"	2011	0
"A80959612"	2012	0
"B43587120"	2012	0
"B08912669"	2013	0
"B28934081"	2013	0
"A08952012"	2012	0
"B81231516"	2007	0
"A45445210"	2010	0
"A08158172"	2013	0
"A82405788"	2012	0
"A41010521"	2012	0
"B73070914"	2008	0
"A12012605"	2010	0
"A28923662"	2007	0
"A28923662"	2008	0
"A43110337"	2007	0
"B08156036"	2007	0
"B97307086"	2013	0
"B61967774"	2012	0
"A47091632"	2007	0
"A08131153"	2011	0
"A53552634"	2012	0
"B15596331"	2009	0
"A50615160"	2012	0
"B61425682"	2011	0
"B01015221"	2013	0
"B81009151"	2009	0
"A22271209"	2012	0
