nif	year	ffpp
"A28122992"	2017	-338561
"A28122992"	2016	-321599
"B82207275"	2013	-315817
"B82207275"	2014	-271427
"B82207275"	2012	-230776
"A28122992"	2015	-206241
"A58816554"	2010	-183786.7
"A58816554"	2009	-179267.6
"A58816554"	2012	-172956.5
"A58816554"	2011	-170853.9
"A58816554"	2007	-164379.2
"A28198661"	2017	-147681
"A58816554"	2008	-144420.2
"B83826230"	2017	-116573
"A82854811"	2017	-46429.94
"A78389608"	2017	-34308.71
"A28198661"	2016	-32846
"A82854811"	2016	-30379.66
"A20806329"	2014	-28129.11
"A78389608"	2016	-27800.43
"A08116147"	2007	-23795.14
"A28012342"	2014	-20616
"B83826230"	2015	-20178
"A31737455"	2017	-20126.79
"A78389608"	2015	-19243.4
"A31138761"	2016	-19097.11
"A80316672"	2008	-18245
"A31138761"	2015	-17619.37
"B78459815"	2017	-16908.61
"A31138761"	2014	-16030.12
"A31737455"	2016	-15826.51
"B31071178"	2008	-14356.51
"B31071178"	2007	-14348.63
"A82854811"	2015	-13255.29
"A28080489"	2017	-13185.58
"A28155240"	2017	-12912.58
"A07061161"	2017	-12680.36
"A08157737"	2017	-12437.17
"A02003754"	2017	-11922.04
"A84434224"	2014	-11716
"A31737455"	2015	-11690.3
"A08250425"	2010	-10178.76
"A02003754"	2016	-9908.056
"A28080489"	2016	-9421.518
"A07059058"	2017	-9269.35
"B25436122"	2014	-9039.07
"A08250425"	2009	-8509.004
"A08157737"	2016	-8452.381
"A08093015"	2017	-8400.063
"A28814135"	2009	-8233.428
"A08093015"	2016	-7939.293
"A78389608"	2014	-7764.463
"A31737455"	2014	-7328.856
"B82207275"	2009	-7200
"A31037294"	2017	-7073.358
"A97789861"	2017	-6997
"A28814135"	2008	-6926.69
"A81410227"	2015	-6725
"A82405788"	2015	-6712.351
"A28080489"	2014	-6648.375
"A28080489"	2015	-6470.727
"B08912669"	2013	-6384
"A28814135"	2007	-6381.21
"B08912669"	2014	-6314.5
"B84372051"	2013	-6184
"A80316672"	2009	-6140
"B82207275"	2010	-5480
"B08912669"	2012	-5474.748
"B57175283"	2015	-5440.224
"A46134250"	2016	-5185.065
"B43241769"	2007	-5063.253
"A28449569"	2015	-4794.034
"A80316672"	2010	-4730
"A35753094"	2014	-4711.527
"A27014430"	2014	-4470.734
"A78389608"	2013	-4449.372
"A33008426"	2015	-4381.405
"A27014430"	2013	-4367.603
"B38366225"	2009	-4231.681
"A81933772"	2012	-4221.866
"B57175283"	2017	-4220.519
"B57175283"	2014	-4205.237
"A28080489"	2013	-4085.747
"A63746275"	2016	-3876.917
"A31037294"	2016	-3870.139
"A81410227"	2016	-3771
"A97043772"	2017	-3558.855
"A82485335"	2012	-3327.709
"B82612896"	2017	-3307.861
"B18018176"	2012	-3281.952
"A35753094"	2015	-3176
"A82405788"	2010	-3142.24
"B28138196"	2017	-3019.798
"A07256100"	2015	-2921.54
"A97043772"	2016	-2903.414
"A82485335"	2011	-2797.405
"A85279107"	2015	-2781.652
"A30022172"	2017	-2618.619
"A46070777"	2014	-2596.104
"B82207275"	2007	-2537
"A31737455"	2013	-2505.352
"A82405788"	2012	-2501.169
"B60653466"	2015	-2475.664
"A48093868"	2017	-2331.113
"A81410227"	2014	-2315.78
"A08093015"	2015	-2227.221
"A28709053"	2016	-2208.142
"A41006891"	2017	-2155.003
"A63736458"	2016	-2078.362
"A85125078"	2017	-2065
"B35597020"	2010	-2017.872
"A43621416"	2014	-2014.7
"A21391917"	2013	-1978.896
"B95271326"	2014	-1975.938
"A84434224"	2013	-1968
"A28080489"	2012	-1965.02
"A63746275"	2015	-1939.627
"A07905573"	2014	-1918.833
"B83495101"	2014	-1858.895
"B83495101"	2013	-1827.168
"A13001730"	2010	-1784.122
"A63736458"	2015	-1741.155
"A63736359"	2015	-1712.259
"A11000098"	2017	-1702.649
"B20078598"	2010	-1665.894
"A97043772"	2015	-1644.29
"A41080144"	2013	-1632.404
"A34009191"	2017	-1513.764
"A28295038"	2015	-1412.829
"B83495101"	2012	-1372.224
"A28428233"	2017	-1274.658
"B46163655"	2015	-1251.585
"A25529074"	2014	-1168.051
"A28547115"	2015	-1129.545
"B50561968"	2007	-1077.652
"A46134250"	2015	-1066.366
"V82171133"	2010	-1064.794
"V82171133"	2008	-1064.313
"V82171133"	2009	-1064.313
"A48093868"	2016	-1050.021
"A78389608"	2011	-1046.934
"A97043772"	2014	-989.514
"A27014430"	2012	-946.269
"A97043772"	2013	-939.336
"A46007548"	2017	-931.454
"B38366225"	2012	-884.416
"A62704457"	2010	-883.244
"A24020562"	2009	-881.511
"B41088642"	2015	-851.807
"A97043772"	2012	-851.691
"B58075136"	2009	-779.737
"A81933772"	2011	-778.132
"B38366225"	2010	-768.759
"B84311760"	2014	-731.624
"A63736458"	2014	-719.478
"A01292846"	2017	-706.793
"B28084168"	2016	-705
"B28341790"	2017	-701.045
"A08365413"	2008	-670.296
"A15024482"	2011	-642.284
"B38366225"	2011	-639.45
"A07905573"	2016	-636.109
"B58075136"	2008	-632.974
"A97043772"	2011	-623.653
"A97043772"	2010	-610.292
"A97043772"	2009	-610.292
"A08365413"	2009	-599.944
"V41812744"	2011	-596.378
"A08194284"	2009	-575.743
"A11256104"	2016	-554.622
"B07025315"	2013	-550.855
"A14015101"	2014	-536.482
"B64555980"	2016	-534.967
"A41043159"	2017	-527.257
"A41006891"	2016	-520.648
"B28118800"	2017	-519.687
"A34129635"	2017	-462.033
"A15024482"	2010	-447.242
"A78389608"	2012	-404.245
"A07905573"	2011	-389.924
"A78753514"	2012	-365.909
"A80904576"	2010	-365.564
"B83495101"	2011	-365.517
"A80904576"	2011	-356.663
"B61882551"	2011	-338.411
"A28219202"	2016	-313.241
"B63533095"	2012	-306.238
"A62977186"	2014	-297.315
"A61713301"	2011	-294
"A35753094"	2011	-281
"A17006479"	2011	-278.607
"B18551226"	2009	-277.069
"B39019468"	2015	-270.924
"A25008046"	2009	-242.966
"A48175699"	2014	-232.688
"A25008046"	2010	-223.103
"B84894377"	2016	-213.696
"B08156127"	2009	-205.458
"V61861548"	2010	-179.429
"A08094435"	2017	-168.588
"B83495101"	2010	-160.35
"A38371159"	2017	-150.314
"A34129635"	2016	-145.33
"V61861548"	2011	-142.744
"A80904576"	2009	-118.922
"A80904576"	2012	-118.43
"B84894377"	2017	-106.665
"A80904576"	2014	-91.439
