nif	year	ig_explo
"B63031660"	2011	0
"B78496759"	2009	0
"B21259726"	2007	0
"B43587120"	2007	0
"B96683347"	2007	0
"B91235622"	2011	0
"B96683347"	2009	0
"A35610666"	2010	0
"B78496759"	2008	0
"A63796395"	2013	0
"B81907776"	2010	0
"B31784895"	2010	0
"A73350399"	2012	0
"A96773940"	2010	0
"B82435371"	2007	0
"B61914883"	2007	0
"A85270965"	2015	0
"A81944324"	2007	0
"A80482334"	2007	0
"B81907776"	2007	0
"B50938489"	2009	0
"B62850094"	2012	0
"B63533095"	2012	0
"B43590272"	2008	0
"A35735083"	2012	0
"A41191313"	2010	0
"A35610666"	2012	0
"A35735083"	2011	0
"A35610666"	2011	0
"B83782169"	2012	0
"B81762684"	2008	0
"B84654201"	2013	0
"B91235622"	2010	0
"A78526811"	2010	0
"B82432725"	2007	0
"B78496759"	2011	0
"A97628242"	2012	0
"A38645214"	2009	0
"A35510650"	2010	0
"A91291435"	2010	0
"V95436002"	2013	0
"B62850094"	2011	0
"A35610666"	2007	0
"A38645214"	2011	0
"B92963628"	2016	0
"A38645214"	2012	0
"B83782169"	2011	0
"B78496759"	2010	0
"B39551973"	2010	0
"B61252185"	2009	0
"B63031660"	2010	0
"A38645214"	2010	0
"A45445210"	2007	0
"A57082570"	2011	0
"A41191313"	2009	0
"A22271209"	2013	.014
"A04413340"	2009	.026
"B85160976"	2014	.04
"B82424276"	2012	.053
"B84654201"	2014	.094
"A38645214"	2014	.523
"B08245805"	2009	.561
"A22271209"	2012	.626
"B48969885"	2007	.96
"B48969877"	2007	.96
"A63414486"	2016	1
"B58222548"	2008	1.096
"A28487601"	2013	2.598
"A63414486"	2015	3
"A35610666"	2008	3.198
"A35517671"	2007	4.954
"A82026840"	2007	6.01
"B18551226"	2009	6.737
"A81410227"	2008	6.972
"B27321249"	2013	7.703
"A60362266"	2008	9.211
"A85280253"	2015	10
"A97628242"	2013	11.688
"A46070777"	2007	15.04
"B97389209"	2011	16.588
"A53559530"	2010	17.21
"A17006792"	2013	20.888
"B83393223"	2012	23.867
"B96683347"	2008	27.52
"A53559530"	2009	31.126
"A57082570"	2013	37.542
"A14580385"	2012	37.84
"B83393223"	2011	42.919
"A48080147"	2014	42.994
"B82435371"	2008	44.093
"B62916077"	2009	44.582
"A78526811"	2011	44.698
"B43579424"	2008	46.827
"A74136060"	2013	49.506
"B57208878"	2010	56.271
"B62385067"	2008	57.107
"A09022963"	2007	63.142
"B33876459"	2008	64.352
"A33008921"	2016	67.5
"A41059445"	2017	69.181
"A78355278"	2007	72.949
"A35517671"	2008	74.194
"A83741967"	2012	75.64
"A17006792"	2015	77.942
"B50997949"	2012	80.784
"A48080147"	2013	80.822
"A81410227"	2007	84.14
"A97628242"	2014	96.292
"B58222548"	2007	96.52
"A91291435"	2015	105.6
"A97628242"	2015	110.793
"A85280253"	2016	118
"B61967774"	2012	118.361
"B97526008"	2013	123.439
"A57277709"	2011	125.258
"B61967774"	2011	131.68
"B34224923"	2015	131.802
"B38484796"	2009	132.963
"V04509865"	2017	133.366
"B74114182"	2012	136.297
"A82307117"	2008	136.66
"B38484796"	2007	138.463
"A83150060"	2009	139
"A63796395"	2016	153.569
"A35510650"	2011	153.638
"B84598192"	2014	155.759
"B03035854"	2008	156.329
"V04509865"	2015	162.814
"A48080147"	2011	164.1
"B61967774"	2010	172.413
"B61882551"	2009	175.223
"A28574044"	2015	176.375
"A09354176"	2011	180
"A85279107"	2015	181.061
"A08377046"	2016	194.355
"A95444519"	2014	195.04
"B97389209"	2012	199.203
"B37416575"	2014	199.54
"A08377046"	2015	202.238
"A08401184"	2015	204
"A08401184"	2016	206.856
"A08401184"	2017	208.512
"B03035854"	2007	215.015
"A33055138"	2007	217.054
"A08377046"	2017	227.065
"A08377046"	2014	228.194
"A48080147"	2012	231.194
"A63796395"	2015	240.917
"A62415641"	2009	243.711
"A48080147"	2010	247.359
"A48080147"	2008	247.757
"A85450476"	2015	254
"A12512497"	2007	254.31
"A74136060"	2014	256.528
"A28192532"	2011	258.664
"B38484796"	2008	276.719
"B62916077"	2010	279.028
"A33008921"	2015	281.727
"A17006792"	2017	283.278
"B61967774"	2016	285.98
"A48080147"	2009	293.407
"A33008921"	2014	295.24
"B84363555"	2015	300
"A57082570"	2012	300
"A81410227"	2009	311.791
"B06013841"	2010	312.678
"B73070914"	2008	314.077
"A78355278"	2009	315.556
"A63796395"	2017	323.497
"A78526811"	2008	325.969
"B83393223"	2017	335.2
"B97389209"	2013	341.686
"B84894377"	2015	351.716
"A28574044"	2017	352.873
"A07035934"	2010	354.965
"B61967774"	2015	361.152
"A78526811"	2009	363.316
"V04509865"	2016	363.555
"A28814135"	2014	365.028
"B30041115"	2014	366.415
"A78526811"	2012	373.431
"A08192965"	2016	375.862
"A09354176"	2012	384.244
"B28341832"	2017	387.974
"B54055140"	2013	391.509
"A92153527"	2008	393.755
"A03028552"	2015	404.777
"A07035934"	2011	412.191
"B61967774"	2017	419.719
"B29006574"	2008	425.07
"A28814135"	2015	428
"B30041115"	2016	430.23
"A17018391"	2013	433.65
"B29212644"	2010	435.795
"A48050728"	2017	438.068
"A25418401"	2007	448.09
"A33055138"	2014	451.322
"A97628242"	2017	459.082
"A08377046"	2013	472.542
"A82275306"	2007	486.697
"A07035934"	2012	487.407
"A28192532"	2009	492.944
"B97389209"	2014	500.7
"B62916077"	2011	510.156
"A28143782"	2015	516.53
"A62977186"	2010	517.847
"A96966049"	2009	518
"A33055138"	2009	519.131
"A48547558"	2007	519.8
"A35753094"	2011	523
"A48031140"	2007	529.12
"A31737455"	2012	529.804
"A48080147"	2007	531.035
"A07035934"	2009	533.088
"B30041115"	2017	538.014
"A48547558"	2008	538.357
"B18551226"	2010	540.074
"A08093254"	2015	546.995
"A48031140"	2008	550.56
"B48969885"	2008	552.74
"A82501545"	2008	552.74
"A12524278"	2007	557.694
"B60024353"	2009	558.7
