nif	year	inmovilizado
"A08277014"	2007	-1406.22
"A82843129"	2009	0
"V95436002"	2013	0
"B31072705"	2009	.541
"A58394941"	2017	.567
"B31072705"	2008	.852
"A26297663"	2007	.904
"V12465118"	2015	1.202
"A58394941"	2016	1.579
"A04413340"	2009	3.047
"A08375537"	2008	3.59
"V12465118"	2013	3.907
"A58394941"	2015	4.166
"A28505402"	2015	5.235
"A28505402"	2017	5.367
"A84534627"	2013	7.723
"B06320410"	2008	10.772
"B96683347"	2007	10.88
"A48840359"	2017	12
"A26297663"	2009	12.139
"A45562329"	2011	12.198
"B18547281"	2013	13
"A50029800"	2014	14.322
"A26297663"	2008	14.813
"V57525560"	2017	14.872
"A28505402"	2014	15.511
"A48840359"	2016	17
"A62704457"	2012	17.564
"A45562329"	2012	18.243
"V57525560"	2016	18.34
"A28505402"	2013	18.518
"A81261430"	2011	18.875
"A48840359"	2015	19
"B18547281"	2012	19
"A80959612"	2016	19.016
"A63746275"	2012	19.354
"A08375537"	2013	19.817
"A80959612"	2007	20
"V57525560"	2015	20.11
"B81248361"	2011	20.534
"A41762386"	2015	20.631
"A61797536"	2007	21
"B84603935"	2017	21.086
"B96683347"	2010	21.748
"A41762386"	2011	22.681
"A08375537"	2012	22.971
"A80959612"	2017	24.812
"B96683347"	2009	25.926
"B48841282"	2010	25.98
"A45562329"	2013	26.029
"A41762386"	2012	26.986
"B84603935"	2016	29.495
"A41762386"	2013	30.303
"A08063372"	2015	31.039
"A08375537"	2014	31.565
"A58061383"	2008	31.723
"B95422721"	2016	32.183
"A41762386"	2014	33.539
"A58061383"	2007	34.299
"A96974340"	2014	35.068
"B96683347"	2008	35.17
"A28612620"	2010	36.419
"F50561091"	2007	36.99
"A45562329"	2014	37.517
"A28612620"	2011	38.953
"B18547281"	2011	39
"A80959612"	2008	40
"A80959612"	2014	40
"A09022963"	2007	40.27
"B31072705"	2011	40.402
"A62704457"	2011	42.651
"B83185140"	2016	43
"B08194276"	2010	43.542
"B18547281"	2010	44
"A80959612"	2009	44
"A63746275"	2013	44.526
"A28612620"	2009	44.529
"B60241437"	2010	44.644
"A28505402"	2010	45.615
"B60653466"	2009	45.658
"B17229675"	2007	46.178
"B46055448"	2017	46.634
"A80959612"	2013	48
"B60653466"	2008	49.204
"B31067697"	2009	49.297
"B47506811"	2015	49.54
"B60653466"	2011	51
"B62111018"	2014	51.217
"B60653466"	2010	51.788
"F50561091"	2008	52.73
"B83156745"	2009	52.987
"A28612620"	2008	53.284
"A08404212"	2016	53.413
"A08689796"	2010	55.68
"A08689796"	2009	55.756
"A45562329"	2015	55.766
"B60241437"	2009	55.843
"B47506811"	2014	55.859
"A28637502"	2011	58.158
"B47506811"	2013	58.326
"A08404212"	2015	59.141
"A29027901"	2011	59.18
"A15010994"	2012	59.534
"A62704457"	2010	61.649
"A41059445"	2016	62.183
"B31067697"	2008	64.978
"A82854811"	2008	65.064
"B31072705"	2010	65.904
"A08425902"	2010	66.512
"A46035770"	2008	66.974
"A28475770"	2017	67.215
"A08404212"	2014	67.395
"A28612620"	2013	69.424
"A30041719"	2008	69.454
"A08404212"	2012	70.935
"B21365630"	2015	71.225
"A08425902"	2009	71.446
"A28475770"	2016	72.384
"B60653466"	2012	73.707
"A82405788"	2016	73.793
"A50066562"	2007	74.063
"A41059445"	2012	74.11
"A33614082"	2017	75.825
"A80959612"	2012	76
"A09022963"	2008	77.89
"A08425902"	2008	77.985
"A50034024"	2008	78.907
"A80959612"	2011	79
"A28612620"	2012	79.353
"A08425902"	2007	79.996
"A41059445"	2015	80.738
"A79203568"	2012	81
"A80959612"	2010	82
"A58132606"	2013	84.026
"B83393223"	2009	84.466
"A82485335"	2013	85.429
"A33614082"	2014	85.566
"A08689796"	2008	86.29
"A41059445"	2013	87.02
"A48117881"	2017	87.454
"A28172476"	2016	87.84
"A28612620"	2015	88.197
"A08508418"	2016	88.317
"A28475770"	2015	88.721
"A41059445"	2011	88.84
"B31067697"	2007	89.063
"B62725320"	2014	90.284
"A28612620"	2014	91.368
"B48841282"	2011	92.065
"B60241437"	2011	92.855
"A33614082"	2016	93.422
"A29027901"	2012	95.85
"B08573909"	2013	97.688
"A41059445"	2014	98.064
"A50066562"	2008	100.171
"A33614082"	2015	101.495
"A08508418"	2017	101.497
"A08404212"	2013	101.516
"B08573909"	2014	101.972
"B46055448"	2016	103.027
"A28446995"	2015	103.134
"B48841282"	2015	103.862
"A82405788"	2015	104.366
"B08194276"	2012	104.693
"B62111018"	2017	105.478
"B18547281"	2017	107.412
"A47438262"	2008	108.087
"A23010200"	2010	108.099
"A50066562"	2009	108.71
"A08203887"	2007	109.837
"B83393223"	2014	110.612
"A08425902"	2011	111.011
"A97628242"	2017	111.741
"A08202582"	2014	112.888
"B46055448"	2015	112.912
"A30041719"	2007	113.871
"B28460681"	2017	113.894
"A28475770"	2014	114.237
"A48117881"	2016	114.687
"A41059445"	2010	114.95
"A78521168"	2014	115.534
"B62725320"	2011	115.847
"A50017334"	2013	116.081
"A08186215"	2017	116.31
"B08194276"	2011	116.592
"B31066798"	2017	116.758
"A45013620"	2011	116.893
"B48441497"	2014	117.708
"A58394941"	2010	118.62
"B28460681"	2016	118.724
"B62725320"	2013	118.967
"A23010200"	2009	119
"B62725320"	2012	119.321
"A08206419"	2013	119.853
"A48080881"	2007	120.087
"A08202582"	2013	121.492
"A28172476"	2015	122.024
"B84570803"	2017	122.244
"A28314995"	2017	122.868
"A08514028"	2011	123.041
"A08514028"	2009	123.417
"B60653466"	2014	123.829
"B06422877"	2012	124.209
"B96990015"	2009	124.348
"B41002619"	2008	124.577
"A29027901"	2014	125.127
"A28574044"	2015	125.278
"B60653466"	2013	125.576
"A28314995"	2015	126.068
"A23010200"	2013	126.163
"A23010200"	2008	127
"B08195653"	2007	127.3
"A46332995"	2008	127.577
"A45013620"	2012	128.507
"A50066562"	2011	128.757
"A15010994"	2008	128.894
"A08206419"	2012	131.495
"B81248361"	2015	133.134
"A28172476"	2014	133.338
"A28172476"	2013	133.483
"B33607649"	2012	133.605
"A08508418"	2015	134.512
"B60241437"	2007	134.573
"A59382762"	2011	134.628
"A41059445"	2009	134.92
"B28460681"	2015	135.364
"B41002619"	2007	135.702
"B85036887"	2014	136.491
"A82485335"	2012	137.316
"B83782169"	2012	137.582
"A01016591"	2009	138.569
"A81117798"	2017	139.384
"A08689796"	2011	140.466
"A96646880"	2010	142.246
"A08514028"	2010	142.726
"B33607649"	2007	143.292
"A08075293"	2012	143.578
"B81009151"	2009	144.289
"A97628242"	2016	145.036
"A28128486"	2010	145.128
"A48403927"	2017	145.727
"B85036887"	2017	146.215
"A47438262"	2010	148.068
"A28446995"	2014	148.085
"A08203887"	2008	148.33
"A84534627"	2014	148.42
"A08304628"	2015	150.026
"A81117798"	2016	150.829
"A08514028"	2012	151.318
"A08029951"	2015	151.48
"A58394941"	2007	151.55
"A08186074"	2016	151.76
"B31066798"	2016	151.894
"A79203568"	2013	153
"A08514028"	2008	153.186
"A29027901"	2013	153.818
