nif	year	inmovilizado_inm
"A08277014"	2007	-1896.76
"A48077184"	2009	-21.054
"A31003304"	2007	-12.834
"B12457230"	2011	0
"B08136905"	2008	0
"A41014986"	2007	0
"A17038035"	2012	0
"A08480287"	2017	0
"B12023065"	2012	0
"B03078391"	2013	0
"B26011627"	2008	0
"B31072705"	2008	0
"A24015406"	2011	0
"B26011627"	2009	0
"A23022874"	2012	0
"B20049615"	2007	0
"A20020038"	2007	0
"A20017604"	2009	0
"A20017604"	2008	0
"A08568826"	2010	0
"A17023813"	2014	0
"A20008579"	2007	0
"A33603317"	2008	0
"B39014709"	2017	0
"A14026199"	2010	0
"B08271694"	2013	0
"A26013714"	2013	0
"B03101748"	2011	0
"A15016595"	2013	0
"B48841282"	2010	0
"A12003950"	2009	0
"A28023422"	2013	0
"A29003423"	2011	0
"A31069321"	2008	0
"B33011792"	2014	0
"F50011139"	2014	0
"A03057221"	2010	0
"A08075293"	2009	0
"A28456119"	2014	0
"A08675522"	2008	0
"A28668127"	2012	0
"A03062619"	2010	0
"A03047628"	2013	0
"A48102792"	2016	0
"B17016254"	2009	0
"A07161821"	2014	0
"A28198356"	2012	0
"A23025927"	2014	0
"A23010200"	2013	0
"A08211112"	2014	0
"A31001027"	2009	0
"A08622938"	2012	0
"A08989782"	2012	0
"B58222548"	2009	0
"A03062619"	2011	0
"A23025927"	2013	0
"A31030901"	2008	0
"A24004103"	2010	0
"A15010994"	2012	0
"A35018027"	2013	0
"A08106031"	2011	0
"A24015406"	2012	0
"A31001027"	2011	0
"B28170215"	2013	0
"A30418255"	2011	0
"A28058725"	2012	0
"A28046704"	2013	0
"B82435371"	2009	0
"A41014986"	2008	0
"A25008046"	2007	0
"B03036712"	2013	0
"A46131769"	2008	0
"A42000802"	2007	0
"A31024458"	2016	0
"A08708620"	2014	0
"A03057221"	2013	0
"A48064521"	2009	0
"A26001867"	2008	0
"B12007456"	2010	0
"A28085520"	2010	0
"B83393223"	2010	0
"A28229409"	2011	0
"A58061383"	2011	0
"A78018421"	2008	0
"A26022657"	2014	0
"B27007897"	2009	0
"A20017604"	2007	0
"A28198356"	2013	0
"A26297663"	2012	0
"A07021256"	2007	0
"A28283067"	2011	0
"B37015526"	2012	0
"A03024809"	2014	0
"B81907776"	2010	0
"A14018634"	2010	0
"A08102410"	2011	0
"A28019461"	2010	0
"A28085520"	2013	0
"B11415387"	2015	0
"A33373622"	2012	0
"A30012009"	2011	0
"A43004472"	2011	0
"A17004763"	2010	0
"B37015526"	2011	0
"A06023477"	2014	0
"A08091894"	2007	0
"A28695856"	2007	0
"A48050728"	2010	0
"A58394941"	2011	0
"A41762386"	2012	0
"A08689796"	2009	0
"A30035521"	2010	0
"B17016254"	2011	0
"B82852831"	2014	0
"B46139143"	2014	0
"A17202375"	2009	0
"A17202375"	2007	0
"B25006222"	2009	0
"A01007442"	2012	0
"A17044546"	2014	0
"A08203887"	2011	0
"A17038035"	2010	0
"A03099405"	2014	0
"A17023813"	2013	0
"A35098482"	2009	0
"A83826362"	2011	0
"A39013867"	2009	0
"A28164374"	2008	0
"A30012041"	2014	0
"A17003757"	2011	0
"A02012714"	2012	0
"A08533945"	2012	0
"A17013269"	2013	0
"A17012626"	2011	0
"A16010126"	2009	0
"A28485761"	2012	0
"F25002338"	2009	0
"B31067168"	2010	0
"A08228520"	2013	0
"B03045507"	2013	0
"A42000802"	2009	0
"A28412724"	2011	0
"A81841850"	2011	0
"A53242152"	2013	0
"A16010126"	2010	0
"A58132606"	2008	0
"B25006222"	2008	0
"A43035708"	2009	0
"A15685373"	2012	0
"A15685373"	2011	0
"A08026635"	2008	0
"B82435371"	2011	0
"A46045936"	2011	0
"A16007064"	2011	0
"A15018146"	2014	0
"A35098482"	2012	0
"A58061383"	2012	0
"A15018146"	2010	0
"A15016595"	2012	0
"A50012541"	2014	0
"A08425902"	2014	0
"B31077514"	2011	0
"A20165650"	2015	0
"A20008579"	2013	0
"A08106031"	2013	0
"A07033491"	2008	0
"A17018052"	2011	0
"A28137255"	2009	0
"A09022963"	2010	0
"A01015510"	2012	0
"A13006903"	2014	0
"B12023065"	2007	0
"A39012638"	2009	0
"B20070082"	2012	0
"A14009823"	2012	0
"B31067697"	2011	0
"A08270993"	2008	0
"A13006903"	2009	0
"A01016591"	2010	0
"A12405577"	2016	0
"A08274805"	2007	0
"A33014176"	2010	0
"A28695856"	2013	0
"A41018854"	2009	0
"A58061383"	2010	0
"A12029468"	2012	0
"A01006055"	2014	0
"B17016254"	2013	0
"B62236781"	2011	0
"A38013744"	2012	0
"B37012069"	2014	0
"A46336152"	2010	0
