nif	year	inmovilizado_mat
"A08170151"	2014	0
"A48050728"	2009	0
"A08377046"	2013	0
"A48080147"	2014	0
"A61797536"	2007	0
"A28143782"	2009	0
"A48080147"	2011	0
"A03734514"	2013	0
"A28053080"	2012	0
"B58222548"	2008	0
"A61713301"	2008	0
"B96683347"	2007	0
"B82435371"	2009	0
"B82435371"	2007	0
"B97389209"	2012	0
"A84434224"	2012	0
"B82435371"	2010	0
"A82854811"	2008	0
"V95436002"	2013	0
"A28143782"	2008	0
"A26297663"	2008	0
"A82843129"	2009	0
"A26297663"	2007	0
"B63031660"	2011	0
"A82485335"	2013	0
"B61252185"	2009	0
"A28143782"	2007	0
"A28143782"	2010	0
"B83782169"	2011	0
"A41762386"	2012	0
"A48080147"	2013	0
"B64055445"	2013	0
"B82435371"	2008	0
"V12465118"	2013	0
"B84654201"	2013	0
"B82435371"	2013	0
"B97389209"	2011	0
"A08377046"	2014	0
"A48080147"	2012	0
"A48050728"	2010	0
"B82435371"	2012	0
"A97628242"	2012	0
"B61967774"	2011	0
"A84534627"	2013	0
"B82435371"	2011	0
"A48080147"	2010	0
"A41762386"	2014	0
"B63031660"	2010	0
"A41762386"	2013	0
"B83782169"	2012	0
"A07427081"	2007	0
"A06008361"	2010	0
"A63796395"	2013	0
"B84309616"	2012	0
"B61967774"	2012	0
"A41762386"	2011	0
"B08660409"	2017	.009
"A08375537"	2014	.02
"A28023422"	2016	.059
"A17006792"	2015	.199
"A17006792"	2017	.199
"A08375537"	2013	.27
"B81762684"	2008	.28
"B81762684"	2007	.28
"A28023422"	2015	.415
"A08375537"	2012	.519
"A58394941"	2017	.523
"B31072705"	2009	.541
"A80959612"	2017	.586
"A80959612"	2016	.667
"B85160976"	2014	.789
"B31072705"	2008	.852
"B85225282"	2015	.884
"B61252185"	2016	1.182
"A62704457"	2012	1.283
"A82485335"	2012	1.416
"B61252185"	2015	1.42
"A17006792"	2013	1.435
"A08375537"	2008	1.51
"A58394941"	2016	1.536
"A28448538"	2015	1.686
"A96773940"	2010	1.724
"A61713301"	2013	2
"A29027901"	2014	2.028
"A45562329"	2011	2.042
"A82485335"	2011	2.548
"A48050728"	2008	2.573
"A62704457"	2011	2.724
"A62704457"	2010	2.801
"A28505402"	2016	2.989
"B97389209"	2013	2.999
