nif	year	intereses
"B73254898"	2017	0
"A28640118"	2014	0
"A63414486"	2011	0
"G38004297"	2014	0
"A78393840"	2011	0
"B82424276"	2012	0
"A03088580"	2008	0
"A08105702"	2012	0
"A43036052"	2014	0
"A28637502"	2015	0
"B46012324"	2010	0
"A28543809"	2016	0
"A28637304"	2013	0
"A20557294"	2007	0
"B28545994"	2007	0
"A08106031"	2010	0
"A28637304"	2010	0
"A08646101"	2017	0
"A41053927"	2016	0
"A24011165"	2007	0
"A28523470"	2007	0
"B46140885"	2016	0
"A83932475"	2011	0
"A31071913"	2014	0
"A33025701"	2015	0
"A08141038"	2010	0
"A81722712"	2012	0
"A48062418"	2011	0
"A45012259"	2015	0
"A08639643"	2008	0
"A20557294"	2008	0
"B28255016"	2014	0
"A08115578"	2008	0
"A40005514"	2017	0
"A09018862"	2008	0
"A28711893"	2016	0
"A48403927"	2016	0
"A03027919"	2011	0
"B11630886"	2010	0
"A08115578"	2016	0
"A03066933"	2007	0
"A48016877"	2016	0
"A08270993"	2007	0
"A20049755"	2012	0
"B15862667"	2014	0
"B31744709"	2014	0
"A08438194"	2011	0
"A08116147"	2016	0
"B20049615"	2008	0
"B17228081"	2014	0
"B28084168"	2007	0
"A04001897"	2013	0
"A81410227"	2007	0
"A38013272"	2008	0
"A28614790"	2008	0
"A46169082"	2014	0
"A08192965"	2007	0
"A28612620"	2015	0
"A28077709"	2017	0
"B45007671"	2012	0
"A33018425"	2014	0
"A28077709"	2014	0
"A08199168"	2013	0
"A12011672"	2010	0
"A78879079"	2008	0
"A46087565"	2013	0
"B30603229"	2011	0
"A48050728"	2014	0
"A08202715"	2012	0
"A08005696"	2011	0
"A45017241"	2010	0
"A28002640"	2013	0
"A28172476"	2011	0
"A28577864"	2014	0
"A33601899"	2007	0
"B36007904"	2012	0
"A28600278"	2012	0
"A08126492"	2013	0
"A80632573"	2015	0
"A09004813"	2017	0
"A48031686"	2015	0
"B08136905"	2015	0
"A45010543"	2011	0
"B37020179"	2013	0
"A36600518"	2017	0
"A08276438"	2008	0
"A08644932"	2014	0
"B82956517"	2012	0
"A28729424"	2012	0
"A33034695"	2014	0
"A08518979"	2010	0
"B59886531"	2011	0
"A28586592"	2008	0
"A28586592"	2007	0
"B23357700"	2014	0
"A28345148"	2012	0
"A28586550"	2016	0
"A08182206"	2012	0
"A39023759"	2015	0
"A28581247"	2013	0
"A25007105"	2017	0
"A28580546"	2017	0
"A28580546"	2014	0
