nif	year	n_empleados
"A43355403"	2007	1
"B30041115"	2017	1
"A35610666"	2008	1
"A30046379"	2017	1
"B04018495"	2015	1
"B82435371"	2011	1
"A15027139"	2010	1
"B38927463"	2017	1
"A74136060"	2013	1
"A81438145"	2011	1
"A38473724"	2010	1
"A62977186"	2011	1
"A08616542"	2008	1
"A08616542"	2009	1
"B78077724"	2012	1
"A28134534"	2009	1
"A38473724"	2008	1
"A35515485"	2012	1
"B92328129"	2012	1
"A74136060"	2014	1
"A16004665"	2008	1
"A48080147"	2009	1
"A35735083"	2011	1
"A58816554"	2013	1
"A58816554"	2012	1
"B97389209"	2011	1
"A12329223"	2007	1
"A48080147"	2010	1
"A43355403"	2009	1
"A97789861"	2014	1
"A48031140"	2013	1
"A30046379"	2011	1
"A26297663"	2007	1
"B08245805"	2009	1
"A82307117"	2009	1
"B83603746"	2011	1
"A48031140"	2012	1
"B82988825"	2013	1
"B78077724"	2011	1
"B12019485"	2008	1
"A33610106"	2008	1
"A43355403"	2008	1
"B83045674"	2017	1
"A29076270"	2013	1
"B30041115"	2016	1
"A12329223"	2008	1
"B83603746"	2015	1
"A35515485"	2013	1
"B83045674"	2016	1
"A48080147"	2008	1
"B82988825"	2011	1
"B43110113"	2012	1
"A82843129"	2009	1
"A58816554"	2011	1
"A48080147"	2011	1
"A33610106"	2009	1
"B06320410"	2011	1
"A58816554"	2010	1
"B82988825"	2014	1
"A25020629"	2012	1
"B08194359"	2011	1
"A38473724"	2009	1
"B30516645"	2013	1
"A62977186"	2010	1
"B28623213"	2010	1
"A48031140"	2014	1
"B82988825"	2015	1
"A48080147"	2012	1
"B08194359"	2012	1
"B97526008"	2013	1
"A41920943"	2007	2
"A35028208"	2015	2
"A31061385"	2009	2
"B38484796"	2007	2
"A31061385"	2010	2
"B46162376"	2014	2
"B83045674"	2015	2
"B82899550"	2010	2
"A36605772"	2007	2
"A96773940"	2014	2
"A38013744"	2007	2
"B58222548"	2013	2
"B08194359"	2008	2
"B96952635"	2009	2
"B30020226"	2015	2
"A95444519"	2014	2
"A36611622"	2017	2
"B58222548"	2011	2
"B29006574"	2007	2
"A36605772"	2009	2
"A33024084"	2017	2
"B83541912"	2013	2
"A81047375"	2007	2
"B35110410"	2010	2
"A96945530"	2008	2
"A35012780"	2015	2
"B29682135"	2010	2
"A36605772"	2008	2
"B08194359"	2010	2
"B46020541"	2011	2
"A35028208"	2016	2
"A04007811"	2017	2
"B30020226"	2017	2
"A31061385"	2011	2
"A58816554"	2009	2
"B38484796"	2008	2
"A45445210"	2007	2
"B58222548"	2012	3
"A28487007"	2007	3
"A45562329"	2013	3
"B63533095"	2012	3
"A03035417"	2007	3
"A53559530"	2008	3
"B28689370"	2017	3
"B82435371"	2012	3
"A57277709"	2013	3
"A31062342"	2007	3
"A48050728"	2008	3
"A09354176"	2011	3
"B62059498"	2007	3
"B96952635"	2017	3
"A61351540"	2015	3
"A48050728"	2009	3
"A63414486"	2011	3
"A78400603"	2009	3
"B30020226"	2016	3
"A78400603"	2008	3
"B82424276"	2012	3
"A78400603"	2010	3
"B14030720"	2007	3
"A78400603"	2007	3
"B96952635"	2016	3
"A48050728"	2007	3
"A82501545"	2008	3
"B02419273"	2016	3
"B62850094"	2013	3
"A82501545"	2007	3
"A28075968"	2017	4
"A33617218"	2013	4
"A78526811"	2010	4
"A06008411"	2015	4
"A08906208"	2008	4
"A48050728"	2013	4
"A48050728"	2017	4
"A09354176"	2012	4
"A35510650"	2010	4
"A58393778"	2016	4
"A15685324"	2009	4
"B17229675"	2007	4
"B29006574"	2008	4
"A33617218"	2011	4
"A91291435"	2010	4
"B96952635"	2015	4
"A45445210"	2010	4
"A83150060"	2011	4
"A24022196"	2009	4
"B84894377"	2015	4
