nif	year	pasivo_fijo
"A46146551"	2008	-.06
"B04348579"	2008	0
"A15590904"	2012	0
"A08277014"	2007	0
"B82175001"	2011	0
"A03012614"	2012	0
"A12083002"	2011	0
"B46069654"	2013	0
"B08156127"	2007	0
"B09019548"	2012	0
"A11606134"	2011	0
"B31027097"	2007	0
"A26018119"	2012	0
"B31039530"	2013	0
"A48073274"	2011	0
"A28577864"	2010	0
"A80904576"	2010	0
"A07051253"	2011	0
"A28172476"	2011	0
"B37015526"	2009	0
"A08720245"	2008	0
"A09018862"	2010	0
"A35610666"	2011	0
"A28494896"	2009	0
"B60031150"	2012	0
"A08479933"	2013	0
"A12013496"	2014	0
"A63746275"	2013	0
"A12012340"	2013	0
"A48034110"	2013	0
"A12012340"	2012	0
"A43004472"	2013	0
"A12012340"	2009	0
"A08029951"	2013	0
"B82175001"	2008	0
"A08061731"	2009	0
"A08094435"	2010	0
"A08296790"	2007	0
"A50060011"	2012	0
"B03078391"	2010	0
"B83156745"	2009	0
"F25002338"	2010	0
"A08021768"	2011	0
"B03072576"	2013	0
"A12001418"	2007	0
"A03028552"	2009	0
"B28218287"	2013	0
"B48714133"	2010	0
"A08375537"	2014	0
"A96773940"	2012	0
"B46055489"	2014	0
"A03032653"	2008	0
"A28668127"	2013	0
"A28138386"	2012	0
"A18024919"	2008	0
"A07427081"	2012	0
"A01035807"	2007	0
"A80732142"	2010	0
"B29901469"	2012	0
"B01128552"	2014	0
"A12027488"	2012	0
"B32001687"	2009	0
"B47364872"	2013	0
"A48117881"	2011	0
"A13002134"	2007	0
"A08106031"	2008	0
"A32006579"	2013	0
"A15685324"	2009	0
"A08128035"	2007	0
"A08708620"	2008	0
"B61425682"	2010	0
"A08257214"	2011	0
"A09028184"	2012	0
"A31001027"	2011	0
"A17044546"	2013	0
"A33034695"	2013	0
"B32001687"	2011	0
"A35610666"	2008	0
"A28814135"	2012	0
"A09018862"	2013	0
"A15016702"	2011	0
"A78159241"	2008	0
"A28112555"	2007	0
"B81308439"	2013	0
"B81009151"	2010	0
"A36011385"	2007	0
"A33606682"	2012	0
"A47022058"	2013	0
"A23010200"	2011	0
"A50030543"	2013	0
"A15016595"	2011	0
"A33008921"	2010	0
"A03057486"	2008	0
"A26014035"	2010	0
"B37012069"	2009	0
"A50060011"	2008	0
"A46463311"	2012	0
"A08363640"	2013	0
"B61395497"	2012	0
"A28440576"	2013	0
"A08278293"	2013	0
"B54055140"	2013	0
"A08708620"	2012	0
"A08708620"	2009	0
"B31089071"	2012	0
"B31007354"	2009	0
"A31031545"	2010	0
"A81722712"	2011	0
"A08021768"	2009	0
"A12001418"	2011	0
"B12023065"	2013	0
"A03028552"	2014	0
"A58061383"	2011	0
"A81200511"	2007	0
"A28577864"	2012	0
"A82405788"	2012	0
"A50060011"	2013	0
"A08425902"	2013	0
"B30603229"	2013	0
"A29012044"	2008	0
"A08024317"	2008	0
"A15590904"	2008	0
"A12016143"	2013	0
"A08116147"	2013	0
"A28128486"	2009	0
"A08576753"	2012	0
"A95249199"	2011	0
"A47022058"	2010	0
"A80732142"	2012	0
"A08363640"	2012	0
"A80732142"	2011	0
"A14012819"	2012	0
"F25002338"	2009	0
"B83782169"	2011	0
"B31089071"	2008	0
"A08639643"	2012	0
"A08639643"	2009	0
"A08061731"	2008	0
"A08270993"	2011	0
"A81722712"	2009	0
"A80904576"	2012	0
"F30587919"	2013	0
"A35515485"	2013	0
"B46055489"	2012	0
"A45019916"	2008	0
"A79290565"	2007	0
"B78496759"	2011	0
"V82171133"	2010	0
"A28668127"	2010	0
"B31089071"	2009	0
"A46151973"	2009	0
"A17044546"	2010	0
"A48050124"	2007	0
"A08737249"	2007	0
"A13002134"	2008	0
"B20793956"	2012	0
"A28229409"	2012	0
"A28054211"	2013	0
"A09000308"	2007	0
"A80904576"	2009	0
"B31067697"	2008	0
"A81200511"	2011	0
"B37015526"	2011	0
"A59954487"	2013	0
"A96773940"	2010	0
"A33604182"	2013	0
"A28189082"	2012	0
"A12083002"	2012	0
"B08194359"	2008	0
"B31798929"	2013	0
"A08106031"	2011	0
"A28198356"	2008	0
"A03059003"	2012	0
"A28198356"	2013	0
"A78159241"	2007	0
"A07066467"	2009	0
"A28198356"	2014	0
"B03010634"	2007	0
"A31018799"	2010	0
"B48714133"	2009	0
"A26297663"	2008	0
"B48070155"	2013	0
"A31096233"	2010	0
"B18547281"	2013	0
"A78879079"	2012	0
"G07065709"	2010	0
"A08296790"	2008	0
"B28270411"	2011	0
"B31089071"	2013	0
"A28027647"	2013	0
