nif	year	pasivo_liq
"B61252185"	2009	0
"A97628242"	2012	0
"A82307117"	2008	0
"B81762684"	2017	.006
"B81762684"	2015	.009
"B81762684"	2016	.807
"B81762684"	2008	2.73
"B97861843"	2014	7
"B31881055"	2016	8.102
"B82435371"	2008	8.401
"V95436002"	2013	8.902
"A63796395"	2013	9.511
"A14580385"	2011	11.594
"A08401184"	2015	14.283
"B92963628"	2015	17.617
"A35517671"	2007	19.02
"A08377046"	2014	22.301
"A97628242"	2013	29.665
"B91629634"	2014	30.2
"A08377046"	2017	36.298
"A08377046"	2016	39.226
"A08401184"	2016	40.462
"A08401184"	2017	43.823
"B97861843"	2016	46
"A08377046"	2013	51.819
"A08377046"	2015	56.899
"B84654201"	2013	57.947
"B81907776"	2010	62.128
"B81907776"	2009	64.386
"A31737455"	2009	73.086
"A97628242"	2015	73.897
"A35610666"	2007	74.205
"A17006792"	2015	75.612
"A35515485"	2015	76.538
"B39008404"	2013	78.798
"A35515485"	2017	79.87
"A48080147"	2017	80.102
"A35515485"	2016	85.505
"A48050728"	2009	85.9
"A48031140"	2010	86.478
"A79092573"	2008	89.8
"A48031140"	2011	90.168
"A26016865"	2015	90.568
"A48031140"	2009	96.495
"B81335473"	2008	100.203
"A48031140"	2017	102
"A48031140"	2008	103.6
"B81335473"	2010	110.108
"B84654201"	2016	111.069
"A29076270"	2013	114.437
"A48080147"	2009	115.003
"A81410227"	2007	121.52
"A09354176"	2011	123.933
"A48031140"	2013	128.444
"B81335473"	2009	130.294
"A48031140"	2016	135
"A33055138"	2016	136.989
"B43587120"	2011	141.196
"A33055138"	2017	143.933
"A97628242"	2017	147.5
"B28692044"	2017	151.278
"A29076270"	2015	160.067
"A28711893"	2010	160.936
"A33055138"	2015	162.408
"A48031140"	2007	163.26
"A29076270"	2016	164.666
"A48080147"	2013	169.907
"B14819643"	2015	171.566
"A36615896"	2016	177.303
"A29076270"	2017	178.296
"A48031140"	2015	179
"B03006681"	2016	185.216
"B81762684"	2007	185.27
"A26016865"	2016	186.161
"B81907776"	2008	187.583
"B81907776"	2007	188.783
"A46115101"	2016	196.39
"A34129635"	2016	198.662
"A34129635"	2017	198.915
"A45020450"	2017	202.439
"A33202474"	2017	206.866
"A48050728"	2010	207.127
"B62916077"	2009	213.022
"A63796395"	2015	213.096
"A26011841"	2015	213.64
"B04348579"	2008	215.766
"A63796395"	2016	219.219
"B62409065"	2008	219.736
"B84654201"	2014	221.267
"A63796395"	2017	224.577
"A48031140"	2012	224.612
"A38645214"	2012	225.992
"A48050728"	2011	227.239
"B84822832"	2015	227.375
"A33202474"	2016	228.105
"A07033491"	2015	229.009
"A46115101"	2017	233.061
"A41059445"	2017	233.25
"B41031980"	2007	233.446
"A28711893"	2011	233.845
"A33202474"	2015	240.012
"A33055138"	2014	243.063
"A26011841"	2016	243.237
"A28128486"	2015	243.506
"B28692044"	2016	243.944
"B50938489"	2010	245.568
"A29076270"	2014	248.822
"A12105029"	2008	253.4
"A78526811"	2010	254.829
"A97628242"	2014	259.612
"B17016254"	2016	260.926
"A33202474"	2014	262.962
"A07086515"	2016	270.27
"A48080147"	2007	275.606
"A34129635"	2007	276.98
"A05007687"	2011	286.214
"A45017142"	2017	287.471
"A48031140"	2014	290.355
"B03026382"	2017	293.801
"A46048732"	2009	296.458
"B03078391"	2016	297.367
"A38645214"	2011	297.521
"A28138386"	2016	300.033
"B30041115"	2016	306.601
"A48050728"	2008	307.39
"B61252185"	2016	314.64
"B30041115"	2015	315.061
"A28191088"	2015	315.433
"B03045507"	2013	317.837
"A38485827"	2017	318.714
"B81231516"	2009	322.097
"V57525560"	2017	322.427
"A12105029"	2007	322.823
"A78526811"	2009	322.936
"B03078391"	2017	324.865
"A28487007"	2009	325.116
"A41008301"	2015	327.033
"A28711893"	2008	328.437
"A28711893"	2009	330.27
"A07024896"	2016	330.63
"A05007687"	2010	334.988
"B03045507"	2016	339.735
"B97861843"	2015	340
"A35014075"	2017	340.517
"A28128486"	2016	341.498
"B03045507"	2011	341.996
"V57525560"	2016	342.487
"B03026382"	2009	345.101
"B43587120"	2010	346.072
"A28711893"	2015	348.21
"V04509865"	2016	348.39
"A96966049"	2008	356
"A16007064"	2015	356.41
"A05007687"	2008	357.18
"A48050124"	2016	361.562
"B83393223"	2016	363.467
"B81335473"	2013	364.039
"A48050124"	2008	364.58
"A35515485"	2014	365.324
"A45017142"	2016	366.371
"A46063731"	2015	366.423
"A41059445"	2016	367.904
"A08667016"	2017	370.872
"B03091527"	2016	370.958
"A50011980"	2016	378.415
"A33614082"	2016	379.54
"A48016877"	2008	382.732
"A78526811"	2011	383.217
"B84598192"	2013	384.091
"B03045507"	2014	386.47
"A35014075"	2016	388.774
"B12523601"	2010	390.007
"A97628242"	2016	391.171
"A26016865"	2017	392.916
"B17016254"	2017	400.214
"B08660409"	2017	401.433
