nif	year	rdo_ejercicio
"A28122992"	2015	-261603
"B82207275"	2012	-231097
"B84654201"	2016	-173334.7
"A61351540"	2015	-148731
"A28122992"	2016	-115358
"A28198661"	2017	-114835
"A28198661"	2016	-113940
"A28122992"	2008	-98627
"B14819643"	2016	-95566.58
"B01218932"	2016	-91742
"B82207275"	2013	-85041
"A85426971"	2017	-81554
"A28198661"	2015	-77974
"A28078202"	2007	-76143
"A14027635"	2016	-67934
"B83826230"	2017	-62802
"A28012342"	2016	-62108
"B01218932"	2017	-61984
"A28012342"	2015	-59813
"B83826230"	2014	-59639
"A28138873"	2014	-59521
"B14008999"	2016	-56906.64
"A61351540"	2014	-55741
"A28012342"	2012	-55739
"B01292903"	2016	-51271
"A28122992"	2010	-50758
"A80316672"	2017	-47510
"B63031660"	2010	-45284
"A80316672"	2008	-44233
"A31007743"	2015	-42483
"A28122992"	2011	-42134
"B95087482"	2017	-39769
"B84654201"	2014	-39123.29
"A28012342"	2017	-38740
"A28122992"	2014	-37968
"A08116147"	2007	-37899.97
"A28709053"	2016	-37860.29
"A08026197"	2012	-36065
"A61351540"	2016	-36004
"B61441127"	2015	-35403
"A28125920"	2015	-33413
"A28012342"	2011	-32046
"A08518979"	2016	-31855.79
"A35004571"	2017	-31813
"B95087482"	2016	-31540
"A09092305"	2015	-30153.18
"B14819643"	2017	-29069.22
"A28012342"	2014	-28926
"B62409065"	2012	-28791.26
"A08431090"	2017	-27857
"A28122992"	2009	-27668
"A28012342"	2013	-27219
"A28138873"	2017	-26456
"B62409065"	2011	-26143.81
"A61713301"	2015	-25945
"B83826230"	2013	-25481
"A28122992"	2012	-25138
"B83588657"	2013	-25019.45
"A31138761"	2014	-24667.66
"A33008921"	2017	-24041.56
"A46070777"	2017	-23081.02
"B78459815"	2017	-22955.8
"A28294718"	2015	-22564
"A28125920"	2017	-21925
"A28396042"	2016	-21277
"A61351540"	2017	-21240
"B14008999"	2017	-20808.84
"A31007743"	2017	-20745
"A82854811"	2015	-20711.16
"B83325076"	2014	-20667.56
"B61441127"	2017	-20297
"B62409065"	2010	-20075.81
"B83826230"	2015	-19693
"A08157737"	2016	-19600.61
"B78459815"	2016	-19548.15
"A09092305"	2016	-19186.74
"B01292903"	2017	-19115
"A28122992"	2007	-18930
"A08518979"	2017	-18821.05
"A83932475"	2016	-18648.8
"A28122992"	2017	-18605
"A33008921"	2015	-18320.31
"A82854811"	2016	-17939.52
"A46070777"	2014	-17551.56
"A28125920"	2016	-17202
"A85125078"	2016	-17121
"A08431090"	2015	-17040
"B78077724"	2016	-16837
"A28155240"	2017	-16650.2
"A28012342"	2010	-16338
"A38485827"	2007	-15059.3
"A80316672"	2012	-14848
"B83616920"	2013	-14707
"A58816554"	2016	-14666.14
"A82854811"	2017	-14457.1
"A08250425"	2009	-14331.93
"A02003754"	2016	-13765.54
"B84654201"	2013	-13764.74
"A39003025"	2012	-13529.15
"B22004113"	2015	-13334
"B82612896"	2017	-13258.41
"A48025571"	2017	-13234
"B83616920"	2014	-12688
"A28814135"	2016	-12631
"B25436122"	2014	-12491.33
"A20031076"	2017	-12462
"A08663684"	2016	-12435.34
"A80316672"	2007	-12360
"B83588657"	2012	-11984.57
"B28084168"	2017	-11973
"A80316672"	2013	-11949
"A28814135"	2017	-11801
"B62409065"	2009	-11789.12
"B50031749"	2017	-11618.44
"A20038915"	2008	-11604.4
"A78389608"	2015	-11478.94
"A35004571"	2016	-11477
"A60362266"	2013	-11356.63
"A28155240"	2015	-11350.98
"B83826230"	2012	-11242
"A12023693"	2016	-10964.31
"B83616920"	2012	-10656
"A81593808"	2017	-10653.96
"B84372051"	2013	-10475
"A08132805"	2012	-10220.55
"B81762684"	2012	-10210.92
"A08116147"	2008	-10204
"A28025435"	2015	-10164.18
"A97789861"	2016	-10159
"A04012258"	2016	-10115.28
"A07061161"	2017	-10103.43
"A08157737"	2014	-10061.08
"A28422335"	2016	-10059.67
"A12095295"	2017	-9983.577
"B38238788"	2014	-9820.451
"B82207275"	2009	-9767
"A60362266"	2009	-9725.74
"C28863686"	2015	-9667.383
"A33008426"	2015	-9578.292
"B84372051"	2017	-9532
"B61441127"	2016	-9513
"B28255016"	2015	-9372.204
"A08132805"	2013	-9351.506
"A80316672"	2011	-9349
"B31881055"	2014	-9333.616
"A28190973"	2015	-9225.388
"B08373250"	2017	-9114.193
"A81593808"	2007	-9110.87
"A08157737"	2015	-9086.5
"A08296790"	2016	-9083.904
"A08148991"	2009	-9043.752
"A38030680"	2016	-9027.744
"B97389209"	2011	-9014.933
"B83481002"	2016	-8973
"A28273241"	2017	-8881.163
"A28449569"	2015	-8855.797
"A35735083"	2014	-8790.891
"A14027635"	2015	-8754
"B83325076"	2013	-8740
"B84654201"	2015	-8701.135
"B84372051"	2014	-8682
"B63100150"	2010	-8635.382
"A80316672"	2016	-8548
"A07427081"	2016	-8512.019
"B84372051"	2015	-8484
"B08912669"	2009	-8462.025
"B48969885"	2010	-8417.568
"A08046799"	2015	-8412
"A08026197"	2013	-8389
"A80245129"	2009	-8347.073
"A46099776"	2016	-8278.624
"A08999088"	2016	-8258.948
"A08999088"	2015	-8189.74
"B78459815"	2015	-8137.777
"A82854811"	2013	-8073.524
"A08202715"	2016	-8067.582
"A08026197"	2014	-8046
"A82335746"	2013	-8040.405
"A04012258"	2017	-7967.007
"A28078202"	2008	-7946
"A78389608"	2016	-7924.16
"A78389608"	2014	-7915.091
"A28273043"	2009	-7838.751
"A28709053"	2015	-7797.542
"A39000187"	2008	-7796.233
"B28341790"	2016	-7773.525
"A60362266"	2010	-7685.756
"A46003265"	2015	-7612.857
"A85125078"	2014	-7593
"A97789861"	2017	-7575
"A08094435"	2015	-7552.696
"A78343977"	2009	-7487.341
"A81410227"	2014	-7453.484
"A07256100"	2017	-7452.172
"A20031076"	2015	-7369
"A20031076"	2016	-7352
"B37014388"	2016	-7342.565
"A81944324"	2010	-7283
"A28341055"	2008	-7266.859
"A60362266"	2015	-7262.083
"A81593808"	2011	-7240.938
"A28407484"	2015	-7170.353
"A85125078"	2017	-7088
"A28273043"	2015	-7062.032
"B31071178"	2007	-7009.245
"A03402468"	2016	-6870.836
"A08120859"	2010	-6837.986
"A16004665"	2013	-6813.469
"A82307117"	2017	-6733
"A12010948"	2016	-6727.783
"A36006021"	2013	-6701.038
"B84372051"	2016	-6666
"A07059058"	2017	-6560.951
"A78389608"	2017	-6520.567
"B83325076"	2011	-6427.568
"B50031749"	2016	-6370.643
"A50057322"	2016	-6341.945
"B22004113"	2017	-6340.106
"B83325076"	2010	-6254.047
"A82485335"	2011	-6231.256
"A35735083"	2015	-6216.78
"A61713301"	2013	-6215
"A21006507"	2015	-6168.179
"B62173604"	2017	-6167
"A33615980"	2013	-6128.634
"A60362266"	2011	-6111.873
"A20038915"	2009	-6108.625
"B30041115"	2015	-6073.842
"B83603746"	2017	-6017.613
"A20012498"	2016	-5938.496
"C28863686"	2017	-5895.108
"B41591165"	2017	-5894.936
"B82393778"	2016	-5892.558
"A35753094"	2014	-5832.051
"A46043154"	2016	-5814.074
"A08031544"	2017	-5811.312
"B57175283"	2014	-5741.515
"A08093015"	2016	-5712.072
"A08131153"	2011	-5711
"A12010948"	2017	-5709.858
"B84654201"	2017	-5690.651
"B82207275"	2007	-5690
"B43241769"	2016	-5652.768
"A28547115"	2015	-5647.522
"A28211092"	2007	-5638.516
"A08148991"	2010	-5638.409
"A83932475"	2017	-5635.577
"A28700383"	2016	-5612.308
"A07052244"	2012	-5598.727
"B08912669"	2012	-5589.51
"A46269155"	2016	-5561.631
"B81762684"	2016	-5555.249
"A35610666"	2015	-5547.274
"B14484612"	2017	-5545.964
"A31037294"	2016	-5541.49
"B81335473"	2017	-5525.061
"A07059058"	2016	-5489.13
"A34009191"	2016	-5453.723
"B83814251"	2012	-5447.707
"B57175283"	2015	-5444.987
"A78389608"	2011	-5425.214
"B62916077"	2014	-5419
"A35753094"	2015	-5410
"B07883457"	2017	-5406.535
"A46075206"	2012	-5402.999
"B22004113"	2016	-5379.876
"A28352656"	2017	-5277.263
"A83932475"	2015	-5270.432
"B57175283"	2017	-5235.394
"B08194359"	2012	-5230
"A07256100"	2015	-5224.795
"A12461802"	2016	-5178.47
"A28117398"	2016	-5166.196
"A28110971"	2017	-5142.065
"B28557064"	2016	-5139.295
"B62916077"	2012	-5135.486
"A53817359"	2016	-5105.626
"A28011286"	2012	-5098
"A35610666"	2014	-5074.156
"V04509865"	2017	-5067.917
"B62173604"	2015	-5008
"A28190973"	2016	-5003.717
"A28198661"	2014	-4998
"V04509865"	2016	-4996.644
"A46134250"	2015	-4955.799
"A46056255"	2015	-4954.374
"B91235622"	2015	-4951.317
"B83211318"	2010	-4939
"A92030402"	2008	-4936.389
"B28341790"	2015	-4912
"B62173604"	2014	-4894
"A83932475"	2014	-4876.008
"V04509865"	2015	-4867.398
"A46098521"	2009	-4865.617
"B82612896"	2016	-4839.282
"A78526811"	2008	-4829.349
"A08509937"	2015	-4826.132
"A48114318"	2015	-4819.804
"A78389608"	2009	-4812.483
"A28025435"	2016	-4795
"B64455447"	2014	-4756.627
"B08912669"	2010	-4742.802
"A41080144"	2013	-4689.809
"A36006021"	2012	-4685.071
"A07256100"	2010	-4633.348
"A59067603"	2016	-4631.827
"A46023255"	2016	-4623.932
"A08132805"	2011	-4615.952
"A33117995"	2010	-4614.456
"B81335473"	2015	-4598.14
"A28011286"	2015	-4598
"A78389608"	2010	-4596.289
"B81335473"	2012	-4591.645
"B62173604"	2016	-4583
"A08116147"	2009	-4582
"A08384638"	2015	-4566.662
"B81762684"	2015	-4564.652
"A08533945"	2017	-4557.717
"A26270322"	2007	-4548.325
"A78389608"	2013	-4545.126
"B30566194"	2016	-4543.471
"A36632875"	2014	-4543.19
"A08304933"	2013	-4539.689
"A29005782"	2016	-4536.763
"A08110249"	2017	-4528.797
"B81335473"	2014	-4527.244
"A58816554"	2010	-4519.026
"A84434224"	2014	-4515
"A83741967"	2016	-4511.242
"A08131153"	2016	-4495
"A17018391"	2008	-4475.265
"B30041115"	2016	-4462.1
"A35610666"	2017	-4462.09
"A31737455"	2013	-4459.967
"A82405788"	2010	-4448.62
"B29006574"	2017	-4424.947
"A08132805"	2015	-4413.802
"A33615980"	2015	-4410.188
"A81410227"	2015	-4410
"B46151411"	2014	-4394.462
"B96952635"	2014	-4381.425
"A31737455"	2014	-4377.266
"B97389209"	2013	-4370.319
"A08031544"	2016	-4360.696
"A08146870"	2010	-4351.007
"A81944324"	2009	-4341
"A39000187"	2009	-4321.754
"A35610666"	2016	-4319.191
"A38232526"	2015	-4311.343
"A28295038"	2015	-4308.559
"A08093015"	2013	-4301.211
"A31737455"	2017	-4300.276
"B28250090"	2017	-4252.569
"A12461802"	2007	-4191.494
"A81410227"	2017	-4182
"A31737455"	2015	-4168.985
"A38645214"	2016	-4158.365
"B85225282"	2015	-4151.849
"A20020277"	2016	-4151.132
"B20023982"	2011	-4138.763
"A31737455"	2016	-4136.207
"A38017844"	2016	-4120.18
"A46134250"	2016	-4118.699
"A46036380"	2012	-4118.29
"B83325076"	2012	-4115.06
"B81335473"	2013	-4114.55
"B78459815"	2012	-4098.084
"B28102556"	2011	-4093.136
"B81335473"	2011	-4071.852
"A41080144"	2011	-4057.92
"A41080144"	2012	-4042.634
"B41088642"	2015	-4030.777
"A38473724"	2007	-4024.277
"B81335473"	2010	-4018.261
"B62850094"	2017	-4016.333
"B59886531"	2011	-4012
"B63031660"	2016	-4005
"B58222548"	2017	-4004.235
"A31737455"	2012	-3998.056
"B48124275"	2013	-3995.796
"B33876459"	2013	-3986.344
"A08157737"	2017	-3984.792
"B82612896"	2012	-3968.513
"A08222465"	2016	-3965.731
"A39000187"	2011	-3962.075
"A08384638"	2016	-3957.345
"B92963628"	2017	-3943.842
"A63796395"	2016	-3931.835
"B81335473"	2016	-3931.14
"B48124275"	2014	-3928.119
"B83325076"	2009	-3904.071
"B83481002"	2017	-3896
"A29003951"	2016	-3893.84
"A20779849"	2015	-3858.088
"A46056255"	2016	-3821.942
"A48114318"	2016	-3812.733
"B81762684"	2014	-3808.393
"A38017844"	2017	-3792.435
"A08194284"	2009	-3790.723
"A28422335"	2017	-3777.077
"B84372051"	2012	-3769
"A28080489"	2017	-3764.065
"A82405788"	2009	-3756.46
"A07905573"	2014	-3725.886
"A41043159"	2017	-3722.645
"A43015338"	2016	-3714.728
"B35110410"	2016	-3711.008
"A59067603"	2015	-3705.367
"A48031686"	2007	-3698.608
"A35735083"	2013	-3689.706
"A82335746"	2014	-3683.893
"B28934081"	2017	-3667.605
"A78389608"	2008	-3665.371
"B81335473"	2009	-3651.566
"B60338290"	2016	-3649.065
"A08146870"	2011	-3638.822
"B60653466"	2015	-3630.846
"A38014114"	2014	-3630.568
"B97389209"	2014	-3625.216
"B84598192"	2013	-3612.889
"B78459815"	2011	-3608.303
"A15024482"	2009	-3598.678
"B91235622"	2016	-3590.012
"A53559530"	2015	-3576.423
"A28435931"	2011	-3562
"A62977186"	2014	-3550.137
"A82854811"	2012	-3545.016
"A60362266"	2016	-3528.24
"A30033898"	2014	-3520.664
"B82424276"	2015	-3519.316
"A07905573"	2012	-3518.898
"A43035542"	2016	-3516.229
"A08304933"	2015	-3510.962
"A60045903"	2015	-3504
"A20012498"	2015	-3498.054
"B28250090"	2015	-3494.025
"A22174932"	2011	-3486
"B99029365"	2014	-3483.484
"B95271326"	2014	-3482.679
"A43020643"	2015	-3472.966
"A21006911"	2016	-3471.01
"A28011286"	2016	-3455
"B38004966"	2014	-3448.449
