nif	year	tesoreria
"B41094459"	2008	-311.29
"B43587120"	2008	-150.046
"A08301475"	2010	0
"A17202375"	2009	0
"A50013671"	2013	0
"A11012572"	2007	0
"A08679060"	2008	0
"B46084208"	2009	0
"A09013947"	2007	0
"B12457230"	2010	0
"A08301475"	2011	0
"A46068862"	2008	0
"B61967774"	2012	0
"C28863686"	2013	0
"A48295604"	2012	0
"V95436002"	2013	0
"B82207275"	2009	0
"B39014709"	2008	0
"A24007072"	2013	0
"A39012638"	2008	0
"A48077184"	2008	0
"A82501545"	2007	0
"A41112012"	2008	0
"B43009091"	2009	0
"A08301475"	2008	0
"B84598192"	2013	0
"A60362266"	2008	0
"B63149637"	2013	0
"A20073169"	2010	0
"B46163655"	2010	0
"B61967774"	2011	0
"A36643450"	2013	0
"A30604680"	2013	0
"A20073169"	2008	0
"B25015017"	2013	0
"A28392033"	2013	0
"A80632573"	2009	0
"A20073169"	2009	0
"B61882551"	2011	0
"B01267277"	2009	0
"A17202375"	2010	0
"A08131153"	2010	0
"B61967774"	2010	0
"A81200511"	2008	0
"A28273241"	2009	0
"V48566475"	2010	0
"B41045089"	2011	0
"A08213936"	2012	0
"B46173423"	2011	0
"A29955093"	2007	0
"A08301475"	2009	0
"A41762386"	2012	0
"A61713301"	2008	0
"B61882551"	2009	0
"B28222487"	2007	.012
"A61831681"	2012	.016
"A53559530"	2008	.025
"A43020486"	2016	.027
"A41112012"	2012	.036
"A61831681"	2011	.071
"B46164091"	2014	.102
"B92963628"	2016	.167
"A12083002"	2017	.174
"A30017883"	2016	.184
"A07086515"	2014	.2
"B84363555"	2016	.203
"B59469296"	2014	.22
"A46269155"	2013	.232
"B84363555"	2017	.25
"A26021527"	2015	.256
"B17229675"	2009	.3
"B61567970"	2014	.3
"B61567970"	2016	.3
"B91172221"	2014	.334
"B40003550"	2014	.346
"A78097656"	2014	.354
"A25022609"	2016	.359
"A22012223"	2017	.382
"A08779407"	2017	.384
"A15685324"	2010	.386
"B15276728"	2015	.408
"A59954487"	2012	.42
"A80352420"	2015	.423
"A53242152"	2012	.446
"A23022783"	2010	.454
"A22012223"	2012	.464
"A23022783"	2012	.468
"B37012069"	2008	.47
"B82432725"	2011	.473
"A28117398"	2007	.481
"A32225419"	2013	.482
"A38013744"	2009	.482
"B37012069"	2011	.486
"A53242152"	2010	.487
"B59469296"	2013	.487
"A42003368"	2017	.496
"B04348579"	2008	.505
"A08466807"	2008	.506
"B82432725"	2012	.508
"A07086515"	2009	.51
"A22009039"	2009	.528
"A08377046"	2014	.532
"A15685324"	2009	.539
"B43579424"	2014	.54
"A28325785"	2017	.554
"A78097656"	2015	.564
"A61831681"	2008	.566
"A61831681"	2015	.568
"A61831681"	2010	.574
"A42003368"	2016	.576
"A59954487"	2013	.577
"A01167204"	2010	.578
"A45562329"	2011	.587
"A04236931"	2014	.592
"B38828687"	2012	.596
"A61831681"	2009	.6
"A29008174"	2008	.601
"A80904576"	2009	.601
"A80904576"	2010	.601
"A15049281"	2010	.619
"A15049281"	2011	.627
"A12021390"	2015	.633
"A15049281"	2013	.645
"A08255374"	2013	.649
"A59954487"	2011	.658
"B17229675"	2010	.665
"B40003550"	2013	.688
"B31009715"	2015	.709
"A08231250"	2014	.723
"A28733350"	2015	.726
"A22012223"	2013	.731
"B83766485"	2015	.742
"A22012223"	2015	.755
"A08563769"	2017	.764
"A22012223"	2014	.775
"A37043015"	2011	.786
"B17229675"	2011	.79
"A43035401"	2012	.812
"B03036340"	2017	.822
"A28428233"	2012	.823
"B06001143"	2015	.824
"A61831681"	2016	.833
"A01167204"	2011	.857
"B38366225"	2009	.868
"B22003099"	2007	.87
"F21339106"	2015	.894
"A08097180"	2016	.921
"A08466807"	2011	.926
"A20018586"	2017	.939
"A28325785"	2016	.95
"A43035401"	2010	.955
"B91172221"	2016	.956
"A60853413"	2011	.96
"A36201259"	2009	.976
"B37012069"	2009	.977
"A79203568"	2017	.977
"B59469296"	2015	.987
"A43020486"	2015	.988
"A53242152"	2011	.99
"A08106031"	2017	1
"A28167443"	2016	1
"A08046799"	2016	1
"A85125078"	2015	1
"A60045903"	2011	1
"B63805295"	2017	1
"B83481002"	2015	1
"B17229675"	2007	1.006
"B12536934"	2016	1.063
"A08637829"	2017	1.065
"A08466807"	2007	1.09
"B40003550"	2012	1.101
"A48403927"	2016	1.106
"A43035401"	2014	1.118
"A25022609"	2015	1.123
"A25529074"	2013	1.131
"A15685324"	2011	1.141
"A01008069"	2015	1.148
"A36201259"	2010	1.149
"A09004813"	2011	1.154
"A29453768"	2015	1.161
"A28017531"	2017	1.166
"A24004103"	2016	1.175
"B43579424"	2010	1.187
"A01008069"	2016	1.196
"V28961811"	2017	1.202
"A46031845"	2013	1.202
"A46031845"	2014	1.202
"A46031845"	2012	1.202
"B50475839"	2007	1.21
"B37012069"	2007	1.22
"A10301240"	2012	1.232
"A37043015"	2012	1.243
"A01167204"	2014	1.258
"A38014098"	2012	1.268
"A08097180"	2015	1.268
"A22012223"	2016	1.27
"A41762386"	2011	1.282
"B46164091"	2012	1.284
"B30041115"	2016	1.304
"A22012223"	2010	1.333
"A28325785"	2013	1.339
"A07086515"	2016	1.359
"B82432725"	2009	1.372
"A59954487"	2010	1.377
"A08604159"	2011	1.382
"B28222487"	2009	1.4
"A07035934"	2012	1.421
"A79203568"	2016	1.425
"A07086515"	2010	1.442
"A01167204"	2012	1.447
"A47438262"	2012	1.447
"B12523601"	2009	1.5
"A48295604"	2013	1.501
"A07244023"	2016	1.508
"B59469296"	2012	1.511
"B46164091"	2013	1.533
"A10301240"	2014	1.579
"A06023477"	2013	1.58
"A30017883"	2011	1.583
"B46164091"	2016	1.592
"A22201164"	2014	1.611
"A08255374"	2012	1.619
"A61831681"	2014	1.622
"A29453768"	2014	1.639
"B30041115"	2015	1.662
"B46164091"	2017	1.665
"B50475839"	2009	1.672
"A28428233"	2009	1.676
"A08013898"	2015	1.688
"A31737455"	2010	1.69
"A53552634"	2011	1.718
"A08377046"	2013	1.753
"B08275026"	2014	1.756
"A33019423"	2016	1.768
"A80352420"	2013	1.791
"A20018586"	2016	1.812
"A50043298"	2009	1.813
"A08604159"	2014	1.822
"A80352420"	2014	1.829
"A01167204"	2013	1.831
"B46118303"	2009	1.831
"B21015474"	2013	1.834
"A20028676"	2016	1.844
"A17034844"	2015	1.876
"B17229675"	2013	1.883
"B26011361"	2013	1.903
"B91172221"	2013	1.905
"A80904576"	2013	1.911
"A96918867"	2009	1.921
"A43010974"	2016	1.928
"A53242152"	2013	1.932
"B59469296"	2011	1.933
"A08231250"	2015	1.934
"A41088493"	2014	1.954
"A22001721"	2014	1.963
"A34009191"	2015	1.965
"A01167204"	2015	1.967
"B46164679"	2016	1.968
"F06305007"	2017	1.998
"B08243693"	2017	2
"A48295604"	2015	2
"A28167443"	2015	2
"B59886531"	2017	2
"B59886531"	2016	2
"B59886531"	2014	2
"B59886531"	2015	2
"A85426971"	2015	2
"B59886531"	2013	2
"A79939112"	2015	2
"A82307117"	2015	2
"A80316672"	2008	2
"A84039338"	2013	2.027
"B04348579"	2015	2.034
"A08466807"	2015	2.039
"A17034505"	2007	2.042
"B17229675"	2014	2.087
"A48295604"	2016	2.102
"B04348579"	2016	2.107
"B08275026"	2013	2.11
"A16000200"	2017	2.138
"A79203568"	2015	2.164
"A08466807"	2014	2.171
"A08466807"	2013	2.191
"B04348579"	2017	2.213
"B43579424"	2013	2.222
"A80352420"	2010	2.236
"A43035401"	2009	2.242
"B46118303"	2010	2.252
"A29067147"	2015	2.276
"A46137352"	2014	2.284
"A12006227"	2011	2.287
"B43009091"	2007	2.291
"A11608999"	2013	2.306
"A28612208"	2010	2.307
"A08146730"	2013	2.32
"A08139339"	2008	2.338
"A38013272"	2017	2.357
"A79253803"	2016	2.36
"A48403927"	2015	2.361
"A80352420"	2017	2.374
"A08563769"	2016	2.42
"A08331472"	2015	2.472
"A39007943"	2013	2.503
"B28307536"	2017	2.506
"A09021833"	2010	2.536
"A01167204"	2017	2.54
"A17034505"	2017	2.551
"A24004103"	2017	2.551
"A41112012"	2016	2.566
"A46078556"	2009	2.566
"B27007897"	2014	2.588
"B28222487"	2008	2.593
"A46115127"	2011	2.599
"A48403927"	2017	2.6
"B30029110"	2009	2.606
"B59469296"	2016	2.63
"B43579424"	2009	2.643
"A06023477"	2012	2.649
"A08604159"	2012	2.682
"A04236931"	2015	2.684
"A08642886"	2014	2.697
"A36600518"	2007	2.7
"A08097180"	2017	2.705
"A06023477"	2014	2.751
"V82171133"	2008	2.806
"B43579424"	2011	2.831
"A08466807"	2010	2.843
"B85225282"	2015	2.856
"A60850500"	2014	2.873
"A08466807"	2017	2.908
"A33019423"	2014	2.909
"A28143782"	2012	2.91
"A08188658"	2015	2.933
"A43035401"	2008	2.935
"A08533945"	2017	2.946
"A28143782"	2013	2.956
"A07086515"	2017	2.969
"B43579424"	2015	2.972
"B28249431"	2014	2.98
"A08106031"	2013	3
"A08106031"	2012	3
"A08046799"	2014	3
"A45445210"	2016	3
"A08046799"	2015	3
"B46163655"	2012	3
"A28167443"	2017	3
"B08243693"	2016	3
"B08243693"	2015	3
"A28278596"	2014	3
"A14336143"	2016	3
"A08046799"	2017	3
"A46115127"	2012	3.004
"B31005507"	2015	3.041
"B43579424"	2008	3.066
"A53552634"	2010	3.093
"A15049281"	2007	3.113
"A31737455"	2016	3.126
"A08007056"	2009	3.128
"A17475203"	2007	3.141
"A02436152"	2015	3.144
"A15049281"	2008	3.148
"A15049281"	2009	3.163
"A09281999"	2016	3.188
"A08388811"	2011	3.202
"A08604159"	2015	3.21
"A17054081"	2017	3.256
"B23015753"	2015	3.257
"A73350399"	2012	3.27
"B43579424"	2012	3.32
"A36604783"	2014	3.326
"B41217761"	2008	3.335
"B41094459"	2012	3.362
"B96683347"	2007	3.37
"A28167443"	2012	3.375
"B17011511"	2016	3.392
"A41112012"	2007	3.393
"A08231250"	2016	3.401
"B46164091"	2015	3.402
"A30017883"	2013	3.419
"B46142485"	2016	3.423
"A28428233"	2007	3.43
"A28428233"	2010	3.432
"B30041115"	2012	3.447
"A29955093"	2009	3.456
"B40003550"	2010	3.488
"A41038274"	2014	3.493
"A11608999"	2012	3.504
"V95436002"	2017	3.511
"A17034505"	2008	3.536
"A12006227"	2008	3.543
"A36201259"	2007	3.55
"F95073748"	2016	3.561
"B21015474"	2014	3.569
"A08132656"	2007	3.581
"B28120012"	2014	3.635
"A08646143"	2012	3.638
"B06007314"	2010	3.665
"B28249431"	2017	3.69
"A08146730"	2014	3.714
"A12083002"	2015	3.715
"A31737455"	2013	3.731
"A28325785"	2015	3.77
"A46137352"	2017	3.78
"A33019423"	2015	3.84
"A62977186"	2015	3.846
"A81036923"	2015	3.861
"B63100150"	2014	3.862
"A28013894"	2013	3.869
"B21015474"	2015	3.895
"A08604159"	2013	3.898
"B36009942"	2007	3.899
"B40003550"	2011	3.911
"A20574380"	2010	3.917
"B21015474"	2012	3.947
"A28167443"	2013	3.965
"A80762602"	2015	3.979
"A08106031"	2011	4
"A43621416"	2013	4
"A80316672"	2012	4
"B91172221"	2017	4
"A60045903"	2015	4
"A36643450"	2017	4
"A60045903"	2016	4
"B59886531"	2008	4
"B06007314"	2014	4.013
"B63677223"	2017	4.017
"F04030672"	2010	4.064
"B46133617"	2013	4.066
"A28636025"	2010	4.09
"A02013985"	2016	4.092
"A36643450"	2016	4.108
"B28249431"	2015	4.112
"A62977186"	2014	4.127
"A83826362"	2016	4.143
"B30516645"	2015	4.164
"B28249431"	2013	4.194
"A43010974"	2012	4.197
"A08078719"	2007	4.21
"B63100150"	2015	4.24
"B03020997"	2014	4.289
"A80352420"	2012	4.3
"B08216202"	2015	4.316
"B08912669"	2011	4.348
"A06023477"	2016	4.351
"A08677700"	2012	4.353
"A20574372"	2014	4.362
"A62977186"	2016	4.388
"A38014098"	2013	4.399
"A26008664"	2016	4.426
"B03019106"	2017	4.444
"A39007943"	2015	4.451
"B08359705"	2014	4.461
"B08359705"	2015	4.462
"A11018736"	2011	4.474
"A48087126"	2014	4.502
"A08394157"	2014	4.51
"A28167443"	2011	4.521
"B81907776"	2010	4.555
"B31005507"	2016	4.585
"B08216202"	2016	4.6
"B81907776"	2009	4.623
"A28496438"	2017	4.633
"V12465118"	2015	4.64
"B63100150"	2012	4.642
"A15013618"	2007	4.658
"A15007727"	2015	4.663
"A46074647"	2017	4.676
"A12081790"	2016	4.678
"A06244131"	2007	4.7
"B60031150"	2016	4.706
"A11010469"	2014	4.709
"A36121176"	2008	4.728
"A12006227"	2017	4.754
"A06007637"	2014	4.755
"A08563769"	2015	4.756
"B81907776"	2008	4.768
"A08231250"	2013	4.835
"B82899550"	2017	4.891
"A08679060"	2015	4.919
"A08489007"	2007	4.92
"A07244023"	2010	4.923
"A28027647"	2007	4.929
"A45562329"	2012	4.929
"B37012069"	2015	4.953
"B74148388"	2014	4.995
"B03010634"	2012	5
"A08106031"	2015	5
"A08431090"	2014	5
"A08106031"	2010	5
"A28396042"	2009	5
"A60045903"	2014	5
"A39000450"	2017	5
"A80316672"	2009	5
"A32225419"	2014	5.02
"A31013543"	2012	5.048
"B41094459"	2011	5.049
"A12081790"	2017	5.085
"A43020486"	2017	5.105
"B91172221"	2015	5.105
"B82432725"	2014	5.142
"B08912669"	2008	5.16
"A28519932"	2011	5.178
"A53242152"	2009	5.217
"A07123441"	2012	5.23
"A19012962"	2013	5.243
"A28457059"	2017	5.277
"A46336152"	2009	5.279
"A28670313"	2017	5.296
"B63100150"	2017	5.31
"A15007727"	2014	5.335
"B40003550"	2016	5.355
"A41022237"	2016	5.369
"A42000901"	2010	5.373
"A02006021"	2015	5.409
"B43579424"	2016	5.411
"A80904576"	2014	5.421
"A12363529"	2008	5.424
"A20574380"	2016	5.444
"B46045993"	2016	5.475
"A62977186"	2017	5.53
"B46118303"	2011	5.551
"A28636025"	2011	5.56
"A36226645"	2008	5.603
"B46149555"	2015	5.604
"A07035934"	2011	5.614
"A38013272"	2014	5.627
"A38013272"	2016	5.63
"A28636025"	2017	5.638
"A60853413"	2010	5.644
"A80904576"	2012	5.657
"A08262065"	2012	5.663
"A41038274"	2011	5.668
"B28249431"	2016	5.685
"A07123441"	2014	5.694
"B82432725"	2017	5.702
"B12291167"	2007	5.71
"A28428233"	2008	5.712
"B46149555"	2016	5.777
"A41038274"	2013	5.785
"A42003368"	2015	5.795
"B11018462"	2013	5.799
"A28175412"	2016	5.813
"A07244023"	2013	5.834
"A06244131"	2008	5.867
"A08679060"	2011	5.871
"A41021841"	2015	5.905
"A17014879"	2008	5.961
"B08912669"	2015	6
"A60963287"	2015	6
"A14336143"	2015	6
"A08431090"	2016	6
"A36643450"	2012	6.012
"A07086515"	2013	6.013
"B08527194"	2015	6.014
"B46055943"	2014	6.021
"B38366225"	2012	6.043
"A14336143"	2013	6.051
"A50052489"	2015	6.064
"B12007357"	2016	6.077
"B38366225"	2011	6.078
"A28636025"	2016	6.095
"A28167443"	2014	6.149
"A46014155"	2014	6.168
"A01167204"	2009	6.201
"B82432725"	2008	6.207
"A43019975"	2015	6.284
"B08912669"	2017	6.3
"A28524726"	2015	6.317
"A33019423"	2013	6.371
"A31180060"	2016	6.374
"B83782169"	2011	6.395
"A28392033"	2016	6.4
"A41022609"	2014	6.415
"A08509937"	2010	6.425
"A28428233"	2011	6.458
"A17014879"	2010	6.469
"B46153292"	2014	6.525
"A14015788"	2013	6.549
"B15015274"	2008	6.624
"A25017880"	2015	6.625
"F50011139"	2017	6.688
"A41037672"	2015	6.72
"A12006227"	2010	6.748
"B11018462"	2009	6.778
"B35065788"	2014	6.782
"A43035401"	2011	6.786
"B82432725"	2016	6.789
"A08989782"	2008	6.879
"A08262065"	2011	6.89
"B37012069"	2012	6.92
"A78753514"	2010	6.921
"A09004813"	2012	6.927
"A08999088"	2017	6.928
"F50011139"	2013	6.931
"B28249431"	2011	6.945
"A17475203"	2009	6.951
"A46036562"	2014	6.991
"A41028820"	2013	6.995
"B83185140"	2016	7
"A82307117"	2016	7
"B59886531"	2012	7
"A80316672"	2014	7
"A20574380"	2017	7
"A04236931"	2016	7.011
"B31009715"	2008	7.079
"A80632573"	2016	7.082
"A06007637"	2012	7.085
"A46043154"	2015	7.09
"A11000288"	2017	7.112
"A08433260"	2013	7.134
"A28423986"	2014	7.156
"A08146730"	2016	7.17
"B08527194"	2014	7.204
"B46118303"	2012	7.23
"A07086515"	2015	7.235
"A41022237"	2015	7.262
"A50013671"	2010	7.289
"A38645214"	2017	7.321
"A17034844"	2016	7.378
"A14030027"	2017	7.397
"A08329831"	2017	7.414
"A39007943"	2011	7.44
"B46045993"	2015	7.455
"A63796395"	2016	7.478
"V95436002"	2015	7.502
"B36007904"	2016	7.519
"A12006227"	2015	7.562
"A31737455"	2017	7.57
"B43579424"	2017	7.582
"A80352420"	2007	7.6
"A36600518"	2009	7.617
"A12083002"	2016	7.624
"A08401820"	2015	7.655
"A37043015"	2013	7.687
"B31005507"	2012	7.692
"A46063731"	2010	7.735
"A08007056"	2008	7.758
"A79492104"	2007	7.777
"A46151973"	2014	7.785
"A31013543"	2015	7.793
"A14025142"	2015	7.811
"A60853413"	2015	7.813
"B82432725"	2015	7.831
"A41021841"	2012	7.832
"B03036720"	2011	7.842
"B31005507"	2008	7.902
"A12081790"	2015	7.927
"A41021841"	2013	7.949
"A36121176"	2011	7.974
"A45445210"	2015	8
"B08912669"	2014	8
"B08912669"	2013	8
"A08106031"	2016	8
"A12363529"	2014	8
"A09281999"	2012	8.015
"A17006792"	2015	8.048
"A09004813"	2009	8.051
"B30516645"	2014	8.083
"A38013272"	2015	8.13
"A08106031"	2008	8.14
"A39007943"	2014	8.141
"B23015753"	2014	8.154
"A01008069"	2012	8.171
"A28278596"	2015	8.257
"B50776657"	2015	8.27
"A41021841"	2011	8.289
"A41088493"	2016	8.35
"A08563769"	2014	8.412
"A41006891"	2017	8.422
"A28524726"	2010	8.441
"A17007014"	2013	8.51
"A01167204"	2007	8.513
"A35499318"	2017	8.516
"B46133617"	2014	8.566
"B17593633"	2010	8.57
"A08296790"	2016	8.598
"A17014879"	2007	8.66
"B08216202"	2012	8.702
"A31078140"	2017	8.722
"A08604159"	2010	8.734
"A28273043"	2015	8.742
"A14336143"	2012	8.743
"A41920943"	2010	8.754
"A28670313"	2013	8.775
"A41762386"	2013	8.778
"A08559932"	2017	8.785
"A80632573"	2007	8.803
"A23205289"	2011	8.863
"B08912669"	2016	8.875
"A12323408"	2017	8.881
"A03061850"	2016	8.888
"A60853413"	2012	8.909
"A81496382"	2014	8.945
"A60853413"	2013	8.969
"A12323408"	2016	8.973
"A08999088"	2015	8.984
"A28278596"	2011	9
"A28143782"	2010	9
"A81944324"	2014	9
"A61713301"	2009	9
"A08023145"	2017	9
"A85450476"	2016	9
"A82307117"	2017	9
"A20574380"	2011	9.016
"A11000288"	2016	9.022
"B48907885"	2015	9.027
"A01161066"	2016	9.032
"B41094459"	2010	9.04
"A28670313"	2016	9.051
"A28670313"	2015	9.053
"B08961393"	2015	9.087
"A41037672"	2008	9.155
"A81410227"	2008	9.171
"A41028820"	2017	9.181
"A17034505"	2010	9.185
"B08552614"	2013	9.26
"B27007897"	2010	9.28
"B63100150"	2016	9.323
"A12006227"	2016	9.327
"B62293113"	2013	9.376
"A48802854"	2015	9.441
"B21015474"	2011	9.45
"A08262065"	2013	9.455
"F95073748"	2008	9.46
"A28630374"	2009	9.483
"A35499318"	2015	9.506
"A08188658"	2016	9.52
"B08423246"	2014	9.53
"A28325785"	2014	9.533
"V95436002"	2014	9.536
"A46014155"	2015	9.544
"B28249431"	2012	9.545
"B61252185"	2009	9.605
"A08130254"	2013	9.606
"A28124311"	2014	9.609
"A08294787"	2008	9.615
"A08999088"	2016	9.645
"B31005507"	2014	9.648
"A58356213"	2010	9.668
"A46269155"	2008	9.683
"A80482334"	2007	9.708
"B28341790"	2016	9.76
"B31009715"	2009	9.781
"A28524726"	2017	9.792
"A36600518"	2015	9.803
"A28496438"	2016	9.83
"A12029039"	2008	9.861
"B08216202"	2013	9.881
"B41058124"	2015	9.889
"A07040090"	2017	9.889
"B62293113"	2014	9.892
"A82501545"	2016	9.907
"B92217975"	2017	9.914
"B30032445"	2011	9.929
"A15016595"	2015	9.937
"A39005095"	2017	9.946
"A97043772"	2017	9.959
"A78753514"	2008	9.961
"A28295038"	2009	9.993
"A28636025"	2015	10
"A60045903"	2007	10
"A08106031"	2014	10
"B15015274"	2010	10.02
"B08912669"	2010	10.026
"A08007056"	2015	10.029
"A78753514"	2011	10.052
"B35031665"	2015	10.06
"A12014346"	2008	10.109
"A08296790"	2015	10.112
"B46118303"	2007	10.13
"A17034505"	2013	10.154
"A12081790"	2010	10.192
"B41045089"	2012	10.209
"B08216202"	2011	10.236
"A38013272"	2013	10.261
"A09281999"	2014	10.285
"B12536934"	2014	10.325
"A41038274"	2015	10.342
"A61557641"	2015	10.366
"A23022874"	2016	10.374
"A28273043"	2014	10.398
"A36621522"	2015	10.398
"A17034505"	2012	10.404
"A31013543"	2014	10.405
"A01167204"	2008	10.415
"A78097656"	2017	10.444
"A28337129"	2014	10.449
"A46122065"	2014	10.457
"A33615923"	2010	10.465
"A31072325"	2015	10.468
"A17202375"	2015	10.472
"B12007357"	2014	10.495
"A36121176"	2009	10.495
"B28341790"	2017	10.509
"A47214424"	2016	10.518
"A82275306"	2007	10.531
"A41037672"	2014	10.531
"A84039338"	2012	10.541
"A48084909"	2014	10.571
"A36600518"	2011	10.58
"A08720245"	2014	10.618
"A07036130"	2011	10.646
"A08737249"	2011	10.684
"A31065915"	2012	10.691
"A24004103"	2012	10.706
"A08377046"	2016	10.714
"A08329039"	2015	10.73
"A08146730"	2012	10.742
"A47024104"	2012	10.754
"A17475203"	2008	10.782
"B22003099"	2009	10.798
"A35499318"	2014	10.87
"A33615923"	2015	10.911
"B08216202"	2014	10.972
"A61797536"	2015	11
"A48084909"	2017	11
"A42000802"	2017	11
"A28278596"	2010	11
"A08106031"	2009	11
"A20039426"	2017	11
"A46014650"	2015	11.006
"B40003550"	2015	11.022
"B43202076"	2017	11.027
"A08639643"	2012	11.031
"A80632573"	2008	11.077
"B38028692"	2012	11.103
"A05122460"	2015	11.104
"A20015137"	2017	11.172
"B45493707"	2017	11.186
"A28192532"	2008	11.285
"B28222487"	2010	11.291
"A41037672"	2016	11.311
"A03061850"	2017	11.336
"B08423246"	2017	11.353
"A28457059"	2016	11.369
"A26008664"	2017	11.396
"B31001290"	2015	11.396
"B43202076"	2016	11.399
"A46010617"	2014	11.407
"V95436002"	2016	11.428
"A15049281"	2017	11.453
"A14481105"	2017	11.454
"A01012830"	2013	11.472
"B50067586"	2015	11.493
"A28670313"	2014	11.529
"B08527194"	2017	11.53
"A01061373"	2013	11.534
"B28376184"	2007	11.544
"B60338290"	2017	11.565
"A03033164"	2009	11.575
"B22003099"	2008	11.58
"A14025142"	2016	11.58
"A22012223"	2011	11.606
"B28148773"	2016	11.619
"A08217432"	2016	11.674
"A28524726"	2014	11.678
"A36006021"	2008	11.693
"A17014879"	2017	11.695
"A36600518"	2008	11.7
"B08275026"	2012	11.776
"A08440323"	2015	11.78
"A46002697"	2015	11.781
"A22271209"	2013	11.8
"A58356213"	2008	11.826
"B30516645"	2016	11.827
"B08423246"	2015	11.834
"B35044197"	2017	11.851
"A43010974"	2015	11.878
"A81410227"	2009	11.888
"B28222487"	2012	11.893
"A08329831"	2016	11.924
"B17048364"	2013	11.949
"A08433260"	2014	11.954
"A26004978"	2012	11.963
"A17013913"	2008	11.998
"A43621416"	2012	12
"A14336143"	2017	12
"A47002878"	2016	12
"A97628242"	2014	12.011
"A23022874"	2017	12.031
"A17048349"	2017	12.071
"B40003550"	2017	12.093
"A31737455"	2015	12.103
"A08559932"	2015	12.143
"A96569207"	2007	12.153
"A36121176"	2010	12.161
"B50067586"	2016	12.164
"A04236931"	2012	12.166
"A28636025"	2009	12.21
"B28701340"	2017	12.228
"A21000427"	2015	12.24
"A31013543"	2013	12.255
"A07123441"	2009	12.331
"B50057330"	2012	12.358
"B15015274"	2015	12.392
"A30022958"	2015	12.418
"A33008426"	2009	12.431
"A31064561"	2012	12.494
"A39007943"	2016	12.505
"A50052489"	2016	12.508
"A07123441"	2007	12.604
"A08134942"	2017	12.605
"B08156036"	2011	12.642
"A28333490"	2016	12.653
"A39023759"	2008	12.667
"B46149555"	2013	12.67
"A08346116"	2014	12.691
"A12017760"	2016	12.717
"A43001684"	2015	12.774
"A05122460"	2010	12.787
"A45020450"	2017	12.806
"A36600518"	2014	12.841
"A23022783"	2011	12.846
"A08509937"	2009	12.854
"A08217432"	2017	12.857
"A28524726"	2008	12.867
"A12017760"	2013	12.93
"B81762684"	2017	12.937
"A17475203"	2011	12.97
"A08023145"	2015	13
"A12006227"	2007	13.01
"A83401273"	2012	13.017
"A06244131"	2010	13.048
"B84822832"	2015	13.05
"B81864894"	2015	13.06
"A46406930"	2010	13.061
"A14004691"	2014	13.064
"A05122460"	2008	13.105
"B63677223"	2015	13.118
"B50057330"	2013	13.154
"A09281999"	2011	13.166
"A28524726"	2009	13.193
"B63100150"	2010	13.229
"A46063731"	2009	13.246
"A09021825"	2015	13.272
"A08433260"	2016	13.279
"A08559932"	2016	13.328
"B46149555"	2014	13.329
"A26270322"	2015	13.457
"A07244023"	2012	13.471
"A28515567"	2014	13.553
"A48802854"	2014	13.558
"B30558290"	2016	13.564
"A39007943"	2012	13.586
"A79492104"	2013	13.644
"B21011333"	2011	13.65
"A46002697"	2017	13.683
"B11018462"	2014	13.693
"B03026382"	2015	13.695
"B81762684"	2016	13.698
"A14004691"	2016	13.705
"A41028820"	2016	13.71
"A11209749"	2010	13.725
"A37043015"	2014	13.748
"A41037672"	2007	13.75
"A28457059"	2015	13.779
"A14025142"	2013	13.798
"A21391917"	2016	13.815
"A28547115"	2013	13.823
"B21011333"	2015	13.826
"A09281999"	2015	13.868
"B22003099"	2010	13.892
"B23015753"	2016	13.963
"A28278596"	2012	14
"A48064182"	2013	14
"A31737455"	2012	14.013
"A25017880"	2014	14.066
"A08007056"	2014	14.075
"B82432725"	2007	14.087
