nif	year	total_activo
"A28562908"	2011	7000.719
"A50335918"	2016	7000.978
"A35144989"	2010	7001
"B08423246"	2011	7001.024
"B53548384"	2010	7001.058
"A03062619"	2010	7001.127
"A30046379"	2011	7001.38
"A28029122"	2008	7001.983
"A24010381"	2008	7002.401
"A08304628"	2014	7002.405
"A46168795"	2015	7003.168
"A81841850"	2013	7003.418
"B42001297"	2008	7003.506
"A26018119"	2012	7003.607
"A15072622"	2010	7003.683
"B30028187"	2011	7004.74
"A08669178"	2012	7004.757
"B18006668"	2016	7004.882
"B59469296"	2015	7004.9
"A28075968"	2010	7005.245
"A15049281"	2017	7005.341
"A20055380"	2009	7005.419
"A08394157"	2014	7005.925
"A08663809"	2016	7006.689
"B03068145"	2010	7006.722
"A28615581"	2017	7006.792
"A23022783"	2007	7007.537
"A32006744"	2010	7007.89
"A28412724"	2011	7008.628
"B30721237"	2008	7009.165
"B12026183"	2016	7009.9
"A28323319"	2013	7011.311
"B17616814"	2014	7011.481
"A78688934"	2016	7011.609
"A06017040"	2014	7011.732
"B38030045"	2017	7011.903
"A08347452"	2012	7012.006
"A08421190"	2008	7012.383
"A48093421"	2009	7012.817
"A28548220"	2014	7013.266
"A46115101"	2007	7013.37
"A28027811"	2015	7014.02
"B28401222"	2014	7014.146
"A03011541"	2010	7014.496
"A08257214"	2010	7014.658
"A33600107"	2017	7014.95
"A20073169"	2015	7015.66
"A81864498"	2007	7016
"B17017237"	2010	7016.537
"B43014430"	2017	7016.716
"B11605862"	2016	7016.758
"A08374332"	2013	7017.101
"A08528648"	2011	7018.124
"A28586550"	2016	7018.205
"A12021366"	2016	7018.799
"A28615581"	2012	7019.295
"A28672624"	2012	7019.394
"A08646101"	2011	7019.55
"A31056500"	2017	7019.777
"B08269839"	2014	7020.068
"A30038764"	2012	7020.586
"A07244023"	2016	7020.75
"A22201164"	2011	7020.797
"A21008727"	2008	7021.941
"A08012601"	2009	7021.947
"B45018017"	2007	7023.289
"A26014035"	2016	7023.482
"B09013335"	2013	7023.881
"A20028676"	2012	7023.945
"B28543023"	2010	7024.556
"A20165650"	2013	7024.768
"A25022609"	2010	7024.829
"A28255784"	2013	7026.203
"B48045140"	2011	7026.58
"A08262412"	2012	7026.648
"A50023423"	2012	7026.745
"B08298747"	2015	7026.96
"A21011903"	2015	7027.811
"B79945150"	2009	7028.155
"A20073169"	2008	7028.51
"A28368603"	2010	7028.887
"A03061314"	2009	7028.933
"A08273898"	2015	7029.579
"A08730277"	2013	7029.732
"B15010168"	2017	7029.741
"B08142655"	2015	7031.634
"A16007064"	2017	7031.72
"A79184453"	2013	7032.06
"A43019975"	2015	7032.308
"A28556504"	2008	7033.228
"A08243297"	2008	7034.91
"A28523066"	2009	7035.877
"A07244023"	2014	7036.192
"A09004813"	2011	7036.752
"A50016930"	2010	7036.914
"A08720708"	2008	7037.016
"B38020020"	2010	7037.186
"A28332914"	2012	7037.268
"A81808966"	2015	7037.309
"A25026733"	2007	7037.492
"A03017886"	2014	7037.528
"A39023759"	2008	7038.313
"B28494797"	2014	7038.503
"B61882551"	2010	7038.892
"B35043637"	2012	7039.318
"B47014568"	2013	7039.745
"A28655157"	2012	7039.875
"B03094455"	2011	7040.192
"A28547149"	2017	7040.479
"A07068422"	2008	7040.982
"A41088493"	2011	7041.053
"A28651370"	2010	7041.156
"A19163682"	2010	7041.954
"A45015716"	2015	7042.407
"A25011180"	2009	7042.418
"A47013180"	2009	7042.656
"A03026697"	2012	7042.821
"A28067338"	2014	7042.898
"A08607988"	2015	7043.079
"B46105771"	2012	7043.901
"A50050236"	2014	7044.3
"A81000028"	2010	7044.684
"A50335918"	2009	7044.783
"A78100609"	2016	7045.053
"A36603637"	2014	7045.157
"A08663957"	2009	7045.984
"A14336143"	2012	7046.057
"B06320410"	2008	7046.897
"A47022058"	2012	7047.064
